#{"t_start": 1646341625.6830556, "env_id": "wordle-v0"}
r,l,t
48,5,0.031251
-1,10,0.078124
11,10,0.109372
1,14,0.156248
-5,18,0.203125
25,1,0.218748
25,2,0.218748
33,7,0.234373
25,1,0.250001
27,2,0.250001
-7,10,0.28125
33,4,0.296875
15,7,0.3125
32,4,0.328124
10,11,0.359375
2,17,0.406247
-2,9,0.437498
-10,9,0.453122
33,5,0.468749
32,5,0.484373
12,7,0.515625
27,2,0.531249
-5,10,0.562497
-8,13,0.609375
0,7,0.640627
42,6,0.671898
27,2,0.6875
25,1,0.6875
45,2,0.703125
31,2,0.703125
27,2,0.703125
25,1,0.718751
27,6,0.734377
-6,19,0.796875
31,3,0.812501
36,11,0.843751
-4,8,0.859376
45,14,1.640625
31,8,1.671875
29,18,1.703125
-5,10,1.734374
33,10,1.765625
-2,9,1.796874
25,2,1.796874
31,4,1.796874
26,5,1.812497
25,1,1.828125
25,1,1.828125
27,10,1.843751
-11,18,1.890624
25,1,1.890624
45,10,1.921872
9,12,1.953127
52,6,1.986771
27,4,1.993833
25,1,1.993833
29,2,1.993833
39,8,2.009459
11,8,2.040709
30,12,2.071962
40,13,2.103214
0,7,2.118837
29,5,2.134462
36,6,2.150087
41,3,2.165712
30,2,2.165712
-4,11,2.196962
39,7,2.22821
31,3,2.22821
-1,8,2.243837
29,3,2.259461
29,5,2.275089
4,9,2.290711
25,1,2.306335
25,1,2.306335
39,16,3.025087
40,8,3.040711
25,2,3.040711
9,15,3.087587
44,7,3.103211
-10,9,3.134461
34,5,3.150087
28,4,3.16571
25,1,3.16571
27,2,3.228212
29,3,3.228212
36,6,3.243837
29,3,3.259463
-2,9,3.290711
25,1,3.290711
33,14,3.321959
-8,9,3.35321
31,10,3.368835
29,3,3.368835
40,7,3.400088
36,5,3.415712
33,6,3.431333
35,5,3.446961
53,6,3.462586
-10,21,3.509459
11,6,3.525084
25,1,3.540711
47,6,3.540711
32,5,3.556336
25,2,3.556336
9,12,3.587584
34,8,3.60321
25,2,3.618834
25,1,3.618834
39,5,3.634462
30,5,3.650085
11,9,3.681335
9,10,3.696959
37,4,3.743838
27,2,3.759462
-6,13,4.509461
25,1,4.509461
38,6,4.525084
29,2,4.540708
30,4,4.540708
44,4,4.556333
25,1,4.556333
-7,8,4.587587
25,1,4.587587
25,2,4.587587
28,7,4.603209
-9,8,4.63446
31,18,4.665709
29,3,4.681335
29,12,4.696958
-5,6,4.712585
25,1,4.712585
36,4,4.72821
-8,15,4.759461
31,3,4.759461
-3,8,4.790711
26,3,4.790711
-10,9,4.82196
-6,9,4.837583
28,5,4.85321
25,1,4.85321
27,12,4.884458
0,7,4.915711
32,3,4.915711
51,5,4.931333
-1,6,4.946958
37,3,4.946958
26,4,4.962587
31,6,4.978209
25,1,4.978209
-15,12,5.00946
47,3,5.00946
40,7,5.040711
-8,13,5.087587
25,1,5.087587
36,7,5.118834
-9,16,5.853209
34,7,5.868834
27,3,5.868834
25,1,5.884461
-2,9,5.900091
-8,9,5.915711
29,2,5.915711
25,1,5.931334
-10,9,5.946958
32,6,5.962587
37,4,5.97821
25,1,5.97821
0,13,6.009458
-8,7,6.025085
30,4,6.040708
36,9,6.056333
41,11,6.087586
12,8,6.103208
33,6,6.118836
50,5,6.134459
34,13,6.150084
25,2,6.165709
42,5,6.181334
-4,7,6.196959
-3,6,6.212584
30,6,6.228211
45,2,6.228211
33,4,6.243834
37,5,6.259458
29,3,6.259458
31,4,6.275083
26,4,6.290708
-1,8,6.306333
-8,13,6.337585
23,4,6.353211
27,2,6.353211
30,5,6.368835
30,4,6.384461
25,1,6.384461
44,9,6.400084
-5,10,6.431334
35,6,6.446959
25,1,6.446959
25,1,6.446959
32,8,6.478209
-3,10,7.348197
47,3,7.348197
27,3,7.363822
35,9,7.395073
25,1,7.395073
-3,12,7.426323
29,7,7.441947
36,15,7.488822
-7,16,7.535698
34,6,7.551322
32,6,7.566947
33,7,7.582573
31,2,7.598197
37,2,7.598197
37,2,7.598197
47,6,7.629448
25,1,7.629448
45,7,7.645072
-1,8,7.676322
37,3,7.676322
33,5,7.691947
29,3,7.707572
25,1,7.707572
29,6,7.723199
42,9,7.754447
29,2,7.754447
8,7,7.770072
25,1,7.770072
-10,9,7.801321
25,1,7.801321
46,5,7.816948
38,6,7.832573
25,1,7.848407
29,2,7.849465
-7,8,7.865095
31,4,7.880718
25,1,7.880718
9,10,7.911968
-4,7,7.927593
29,3,7.943219
53,7,7.958846
27,2,7.97447
25,1,7.97447
-4,13,8.005718
30,8,8.036968
25,1,8.036968
30,8,8.052594
41,16,8.990093
32,15,9.036968
37,4,9.036968
-6,11,9.068218
25,1,9.083843
-1,8,9.115093
37,2,9.115093
39,3,9.130716
27,4,9.146343
26,4,9.161966
27,2,9.161966
10,7,9.193218
30,5,9.193218
36,11,9.240094
29,13,9.271343
-9,10,9.302594
25,1,9.302594
-8,9,9.333845
29,3,9.333845
0,19,9.396341
25,1,9.396341
35,10,9.427592
35,7,9.443218
0,7,9.474468
42,5,9.490093
25,1,9.490093
-1,8,9.521343
27,4,9.53697
25,1,9.53697
30,11,9.568219
25,2,9.568219
33,9,9.599467
4,7,9.630728
25,1,9.646344
-4,11,9.677594
10,9,9.724471
-8,7,9.755718
27,2,9.755718
37,5,9.771341
27,2,9.771341
27,3,9.786968
-8,11,10.708843
-11,12,10.740093
31,3,10.755718
-4,7,10.771341
-7,10,10.802593
28,9,10.833843
-3,10,10.865094
29,3,10.865094
49,7,10.896342
