,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-2.0,2022-03-04 01:42:04.580724,2022-03-04 01:43:56.891043,0 days 00:01:52.310319,tanh,128,0.4,0.00793657368830118,0.98,0.999,0.00018651128681614946,0.3,1,64,small,0.6075284723383076,COMPLETE
1,1,1.0,2022-03-04 01:42:04.580724,2022-03-04 01:45:48.520435,0 days 00:03:43.939711,relu,32,0.1,0.0006053611655866025,0.92,0.999,0.00013286856018548192,0.3,10,256,small,0.35736739576114496,COMPLETE
2,2,1.6666666666666667,2022-03-04 01:42:04.580724,2022-03-04 01:44:32.466683,0 days 00:02:27.885959,relu,256,0.1,0.00033702906877086577,0.99,0.9999,4.941692552564135e-05,5.0,10,256,medium,0.09299570681633895,COMPLETE
3,3,7.0,2022-03-04 01:43:56.891043,2022-03-04 01:47:34.598944,0 days 00:03:37.707901,tanh,512,0.4,0.0022251231399084905,0.98,0.9,1.637412447681647e-05,0.9,20,128,medium,0.2843891947842351,COMPLETE
4,4,-1.3333333333333333,2022-03-04 01:44:32.466683,2022-03-04 01:46:45.317339,0 days 00:02:12.850656,relu,512,0.2,0.006789360611916514,0.92,0.999,0.00021925820953154064,0.5,10,2048,medium,0.6978612835297628,COMPLETE
5,5,4.666666666666667,2022-03-04 01:45:48.536060,2022-03-04 01:47:45.266559,0 days 00:01:56.730499,tanh,256,0.3,0.00015309452061118615,0.99,0.999,0.0009441115870307769,0.9,5,128,small,0.6715568571466473,COMPLETE
6,6,3.0,2022-03-04 01:46:45.332963,2022-03-04 01:47:39.379131,0 days 00:00:54.046168,relu,512,0.1,0.00017165614122980575,0.95,0.99,1.8674919121538045e-05,0.9,5,2048,small,0.21724789574753267,PRUNED
7,7,6.0,2022-03-04 01:47:34.598944,2022-03-04 01:49:12.050889,0 days 00:01:37.451945,tanh,512,0.3,0.0015668728610320102,0.98,0.9,1.0838592415067677e-05,0.9,20,128,medium,0.9805443850449993,PRUNED
8,8,7.666666666666667,2022-03-04 01:47:39.379131,2022-03-04 01:49:48.581806,0 days 00:02:09.202675,tanh,64,0.3,0.0017524106564991882,0.98,0.9,1.0280994387631102e-05,2.0,20,128,medium,0.9311915733681227,PRUNED
9,9,0.6666666666666666,2022-03-04 01:47:45.266559,2022-03-04 01:49:54.734095,0 days 00:02:09.467536,tanh,64,0.4,0.0020440124260905877,0.8,0.9,1.259390551743535e-05,2.0,20,128,medium,0.9762444109728876,PRUNED
10,10,-4.666666666666667,2022-03-04 01:49:12.066513,2022-03-04 01:54:01.085751,0 days 00:04:49.019238,tanh,64,0.4,0.002329559303154429,0.8,0.9,3.6772118497107505e-05,2.0,20,512,medium,0.0008946497068275661,COMPLETE
11,11,4.666666666666667,2022-03-04 01:49:48.581806,2022-03-04 01:53:23.891455,0 days 00:03:35.309649,tanh,128,0.4,0.003469012868886664,0.9,0.95,5.2821123629422415e-05,0.7,20,1024,medium,0.00049070777306226,COMPLETE
12,12,3.3333333333333335,2022-03-04 01:49:54.734095,2022-03-04 01:50:49.560640,0 days 00:00:54.826545,tanh,32,0.4,0.0038481095207728837,1.0,0.995,4.000543730494718e-05,0.7,1,1024,medium,0.3961123629730303,PRUNED
13,13,8.0,2022-03-04 01:50:49.560640,2022-03-04 01:51:40.530967,0 days 00:00:50.970327,tanh,256,0.3,0.00011029278852538956,0.99,0.95,0.0008300619879216515,1.0,5,512,small,0.6892519436748321,PRUNED
14,14,10.0,2022-03-04 01:51:40.530967,2022-03-04 01:53:30.480408,0 days 00:01:49.949441,tanh,256,0.2,0.0006973465510290345,0.9,0.95,0.0008921566358378535,0.9,5,128,small,0.5216294104433373,COMPLETE
15,15,6.333333333333333,2022-03-04 01:53:23.891455,2022-03-04 01:54:25.275308,0 days 00:01:01.383853,tanh,256,0.2,0.0007294206038675053,0.99,0.99,0.0009481142822334647,0.9,5,128,small,0.4715776436400221,PRUNED
16,16,0.0,2022-03-04 01:53:30.480408,2022-03-04 01:54:32.567501,0 days 00:01:02.087093,tanh,256,0.2,0.0007146803794890738,0.9,0.95,0.00045546440120664575,0.9,5,128,small,0.4697260904522836,PRUNED
17,17,9.0,2022-03-04 01:54:01.085751,2022-03-04 01:55:07.194324,0 days 00:01:06.108573,tanh,512,0.2,0.0006578745272933698,0.9,0.95,0.0005170218347600359,0.9,5,128,small,0.46790404609906716,PRUNED
18,18,5.666666666666667,2022-03-04 01:54:25.275308,2022-03-04 01:55:38.799183,0 days 00:01:13.523875,tanh,512,0.2,0.00036228184349308294,0.9,0.95,0.0004100319521414713,0.9,5,64,small,0.23318846097177204,PRUNED
19,19,5.666666666666667,2022-03-04 01:54:32.567501,2022-03-04 01:55:33.021039,0 days 00:01:00.453538,tanh,512,0.2,0.0003235097899354794,0.9,0.9999,0.00037827070043538243,1.0,1,64,small,0.2467386314511127,PRUNED
20,20,7.666666666666667,2022-03-04 01:55:07.194324,2022-03-04 01:56:03.899866,0 days 00:00:56.705542,relu,512,0.2,0.0011202980065405522,0.95,0.9999,9.792393837014572e-05,0.5,1,64,medium,0.21849329162754128,PRUNED
21,21,6.666666666666667,2022-03-04 01:55:33.021039,2022-03-04 01:59:05.175299,0 days 00:03:32.154260,relu,32,0.2,0.0012383571220894226,1.0,0.995,8.560145499021966e-05,0.5,20,128,medium,0.28378596434230874,PRUNED
22,22,10.0,2022-03-04 01:55:38.799183,2022-03-04 01:58:56.696629,0 days 00:03:17.897446,relu,32,0.4,0.001125061405597682,1.0,0.995,8.340753071052054e-05,5.0,20,128,medium,0.8293496131489477,PRUNED
23,23,8.0,2022-03-04 01:56:03.899866,2022-03-04 01:56:52.067164,0 days 00:00:48.167298,tanh,256,0.3,0.00018681505129199055,1.0,0.995,0.0006579020028441709,0.9,5,128,small,0.8337928781904095,PRUNED
24,24,3.6666666666666665,2022-03-04 01:56:52.067164,2022-03-04 01:57:36.350541,0 days 00:00:44.283377,tanh,256,0.3,0.004429126068402813,0.99,0.999,0.0002858016585425724,5.0,5,128,small,0.5957961710820696,PRUNED
25,25,4.666666666666667,2022-03-04 01:59:05.222178,2022-03-04 02:00:10.145169,0 days 00:01:04.922991,tanh,256,0.3,0.00012409735146639132,0.98,0.999,2.6646462304337033e-05,0.9,5,128,small,0.5607674049498353,PRUNED
26,26,2.0,2022-03-04 01:59:05.222178,2022-03-04 02:00:09.988919,0 days 00:01:04.766741,tanh,256,0.3,0.00010915267693411166,0.98,0.999,2.6789398048154852e-05,0.9,5,128,small,0.5628585143699766,PRUNED
27,27,2.6666666666666665,2022-03-04 01:59:05.222178,2022-03-04 02:00:09.926420,0 days 00:01:04.704242,tanh,256,0.3,0.000196907840189386,0.98,0.999,2.2897845127030232e-05,0.9,5,128,small,0.577122088448337,PRUNED
28,28,3.3333333333333335,2022-03-04 02:00:09.942044,2022-03-04 02:01:10.023235,0 days 00:01:00.081191,tanh,256,0.4,0.002726552073961079,0.99,0.9,0.000606925363141819,0.9,5,256,small,0.6813500464670215,PRUNED
29,29,-2.6666666666666665,2022-03-04 02:00:09.988919,2022-03-04 02:01:21.979876,0 days 00:01:11.990957,tanh,128,0.4,0.0026602470632723285,0.99,0.9,0.000637160090280624,0.9,10,1024,small,0.3591695078473067,PRUNED
30,30,6.333333333333333,2022-03-04 02:00:10.145169,2022-03-04 02:01:16.319178,0 days 00:01:06.174009,tanh,256,0.4,0.002620672469054533,0.99,0.9,0.0006180529251151099,0.9,10,256,small,0.7205735875722667,PRUNED
31,31,-2.6666666666666665,2022-03-04 02:01:10.023235,2022-03-04 02:02:17.965236,0 days 00:01:07.942001,tanh,128,0.4,0.009244841775461135,0.95,0.99,0.0001618243166815039,0.3,10,1024,small,0.3781546690521031,PRUNED
32,32,6.0,2022-03-04 02:01:16.334803,2022-03-04 02:02:09.327897,0 days 00:00:52.993094,tanh,128,0.1,0.008185676115353775,0.8,0.99,0.00015478655954889595,0.3,1,2048,small,0.389654338036652,PRUNED
33,33,1.0,2022-03-04 02:01:21.979876,2022-03-04 02:03:05.320333,0 days 00:01:43.340457,tanh,128,0.4,0.008304391548940337,0.9,0.95,5.4495857219096026e-05,0.7,20,1024,medium,0.03157782385745034,PRUNED
34,34,1.6666666666666667,2022-03-04 02:02:09.327897,2022-03-04 02:03:44.930691,0 days 00:01:35.602794,tanh,128,0.4,0.0046866466140179875,0.9,0.95,6.104258991447587e-05,0.7,20,1024,medium,0.15271284335281438,PRUNED
35,35,4.333333333333333,2022-03-04 02:02:17.965236,2022-03-04 02:03:51.162841,0 days 00:01:33.197605,tanh,128,0.4,0.004080017874308216,0.9,0.95,7.330374361686688e-05,0.7,20,1024,medium,0.13308364229119427,PRUNED
36,36,3.0,2022-03-04 02:03:05.320333,2022-03-04 02:04:39.209893,0 days 00:01:33.889560,tanh,128,0.4,0.004775299754724167,0.92,0.95,5.901666770860515e-05,0.7,20,1024,medium,0.09076488834365033,PRUNED
37,37,7.666666666666667,2022-03-04 02:03:44.930691,2022-03-04 02:05:25.721796,0 days 00:01:40.791105,relu,128,0.1,0.00042730160015822807,0.92,0.95,1.6193506284713083e-05,0.7,20,512,medium,0.0863183803424244,PRUNED
