,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,23.666666666666668,2022-03-06 19:55:55.841244,2022-03-06 19:57:35.469147,0 days 00:01:39.627903,64,0.2,0.008621115584712938,0.8,0.95,0.00014498155605146702,0.3,10,1024,0.318963525140157,COMPLETE
1,1,13.0,2022-03-06 19:57:35.469147,2022-03-06 19:58:54.573722,0 days 00:01:19.104575,256,0.3,0.00039719517517900735,0.92,0.995,1.152312726614824e-05,0.5,20,256,0.8012770073880914,COMPLETE
2,2,7.666666666666667,2022-03-06 19:58:54.573722,2022-03-06 20:02:10.345285,0 days 00:03:15.771563,32,0.4,0.00900983395975035,0.9,0.9999,0.00020217790330222965,0.5,20,512,0.5177483662572026,COMPLETE
3,3,8.0,2022-03-06 20:02:10.346284,2022-03-06 20:03:08.538247,0 days 00:00:58.191963,512,0.1,0.00011530226886475608,0.92,0.99,1.6018395862892056e-05,0.9,1,1024,0.1594562592439055,COMPLETE
4,4,1.3333333333333333,2022-03-06 20:03:08.538247,2022-03-06 20:04:25.851801,0 days 00:01:17.313554,256,0.3,0.0002936831801461447,0.8,0.9,0.00021009467498080145,5.0,20,256,0.49685130543127687,COMPLETE
5,5,5.333333333333333,2022-03-06 20:04:25.867424,2022-03-06 20:05:08.413748,0 days 00:00:42.546324,64,0.2,0.009283332118007718,0.95,0.95,0.0007677898619889655,0.3,10,1024,0.1965655914449318,PRUNED
6,6,0.3333333333333333,2022-03-06 20:05:08.414748,2022-03-06 20:05:50.323678,0 days 00:00:41.908930,64,0.2,0.0022065304252827174,0.98,0.999,4.415498057611042e-05,0.7,5,64,0.4463365029779967,PRUNED
7,7,-0.3333333333333333,2022-03-06 20:05:50.323678,2022-03-06 20:07:10.600089,0 days 00:01:20.276411,128,0.2,0.002025385761842679,0.99,0.95,7.257908778052425e-05,1.0,10,128,0.9873626760256972,COMPLETE
8,8,-3.3333333333333335,2022-03-06 20:07:10.602090,2022-03-06 20:08:42.778709,0 days 00:01:32.176619,64,0.4,0.0025870164832146893,0.8,0.95,0.000987840733668098,0.3,10,2048,0.032471266620336836,COMPLETE
9,9,7.666666666666667,2022-03-06 20:08:42.778709,2022-03-06 20:09:15.884118,0 days 00:00:33.105409,128,0.1,0.004512858228570114,1.0,0.9,0.00023579022519349546,2.0,5,1024,0.3331632392142815,PRUNED
10,10,8.333333333333334,2022-03-06 20:09:19.284779,2022-03-06 20:10:23.738601,0 days 00:01:04.453822,32,0.2,0.0007139821508123986,0.8,0.99,3.3810485088662174e-05,0.3,1,128,0.6668806681220354,COMPLETE
11,11,4.0,2022-03-06 20:10:23.738601,2022-03-06 20:11:43.147671,0 days 00:01:19.409070,256,0.3,0.0006422928277983798,0.92,0.995,1.3327936833541513e-05,0.5,20,256,0.8188106020165029,COMPLETE
12,12,8.0,2022-03-06 20:11:43.147671,2022-03-06 20:12:22.118734,0 days 00:00:38.971063,256,0.3,0.0002939549589748493,0.92,0.995,9.802407810273838e-05,0.5,20,256,0.7266033307815465,PRUNED
13,13,15.333333333333334,2022-03-06 20:12:22.119735,2022-03-06 20:13:30.908255,0 days 00:01:08.788520,512,0.3,0.0004043088299096548,0.95,0.995,3.530367958332502e-05,0.7,10,2048,0.919014475922002,COMPLETE
14,14,2.3333333333333335,2022-03-06 20:13:30.909389,2022-03-06 20:14:35.752708,0 days 00:01:04.843319,512,0.2,0.0001155382012505512,0.95,0.999,3.1392222159318353e-05,0.7,10,2048,0.31496599342076415,COMPLETE
15,15,3.6666666666666665,2022-03-06 20:14:35.768334,2022-03-06 20:15:09.241392,0 days 00:00:33.473058,512,0.3,0.0012685427141079708,0.95,0.9999,0.0003896709099412415,0.7,10,2048,0.975180542513744,PRUNED
16,16,4.666666666666667,2022-03-06 20:15:09.241392,2022-03-06 20:15:52.893053,0 days 00:00:43.651661,64,0.1,0.00476010259694599,0.98,0.95,5.644483661704027e-05,5.0,10,512,0.6121977927177578,PRUNED
17,17,10.333333333333334,2022-03-06 20:15:52.893053,2022-03-06 20:17:21.282922,0 days 00:01:28.389869,512,0.4,0.0011407715253796361,0.9,0.995,0.0001143662698928317,0.9,10,64,0.3595538531963881,COMPLETE
18,18,3.3333333333333335,2022-03-06 20:17:21.282922,2022-03-06 20:18:26.280380,0 days 00:01:04.997458,512,0.2,0.00019491679086404401,1.0,0.95,2.5735754748290016e-05,1.0,10,1024,0.1962491737765234,COMPLETE
19,19,3.3333333333333335,2022-03-06 20:18:26.280380,2022-03-06 20:19:02.958590,0 days 00:00:36.678210,64,0.3,0.0005688592994730181,0.99,0.995,0.00010966473557633228,2.0,5,2048,0.8685063941984985,PRUNED
20,20,3.3333333333333335,2022-03-06 20:19:06.486369,2022-03-06 20:20:13.356046,0 days 00:01:06.869677,32,0.2,0.004673252659179692,0.8,0.99,0.0003974152554230636,0.7,1,2048,0.0320939931710193,COMPLETE
21,21,3.3333333333333335,2022-03-06 20:20:13.371673,2022-03-06 20:21:31.400314,0 days 00:01:18.028641,256,0.3,0.00036479221723780756,0.92,0.995,1.9605080687052654e-05,0.5,20,256,0.8571465799768704,COMPLETE
22,22,3.0,2022-03-06 20:21:31.400314,2022-03-06 20:22:09.538459,0 days 00:00:38.138145,256,0.3,0.0004277157808068685,0.95,0.995,1.0181760879251511e-05,0.3,20,256,0.7782579484269843,PRUNED
23,23,0.0,2022-03-06 20:22:09.538459,2022-03-06 20:22:45.029941,0 days 00:00:35.491482,128,0.3,0.00019625269377293608,0.8,0.995,2.0801754976117386e-05,0.3,10,1024,0.9062904869618771,PRUNED
24,24,-2.3333333333333335,2022-03-06 20:22:45.029941,2022-03-06 20:23:33.459149,0 days 00:00:48.429208,512,0.3,0.00021466956931875313,0.92,0.995,1.0427590929712449e-05,0.7,10,64,0.5710746405324951,PRUNED
25,25,3.0,2022-03-06 20:23:33.459149,2022-03-06 20:24:21.568006,0 days 00:00:48.108857,256,0.3,0.0009296101792585935,0.95,0.9,4.960152417541034e-05,0.5,20,128,0.7233293763642636,PRUNED
26,26,10.666666666666666,2022-03-06 20:24:21.568006,2022-03-06 20:24:57.336279,0 days 00:00:35.768273,64,0.1,0.0005323151007325252,0.98,0.999,6.65940738812128e-05,1.0,5,512,0.4328188726007494,PRUNED
27,27,0.3333333333333333,2022-03-06 20:24:57.336279,2022-03-06 20:25:27.421271,0 days 00:00:30.084992,64,0.4,0.0008255716329043038,0.99,0.9999,0.00016427426055975398,2.0,1,256,0.913180246385807,PRUNED
28,28,18.333333333333332,2022-03-06 20:25:27.430255,2022-03-06 20:26:35.415175,0 days 00:01:07.984920,256,0.3,0.0015643702057733376,0.9,0.95,3.9034632186857957e-05,0.9,10,1024,0.7740064046888481,COMPLETE
29,29,18.333333333333332,2022-03-06 20:26:35.418176,2022-03-06 20:27:43.585296,0 days 00:01:08.167120,512,0.3,0.0015156073224910852,0.9,0.95,3.480445008501694e-05,0.9,10,1024,0.6495048366065992,COMPLETE
30,30,19.0,2022-03-06 20:27:52.197261,2022-03-06 20:29:01.306943,0 days 00:01:09.109682,256,0.2,0.0016287540859271877,0.9,0.95,0.00015521943699971092,0.9,10,1024,0.6254822359722784,COMPLETE
31,31,13.0,2022-03-06 20:29:01.322569,2022-03-06 20:30:08.020947,0 days 00:01:06.698378,256,0.2,0.0015362580937347524,0.9,0.95,8.248993039447601e-05,0.9,10,1024,0.6502361534613836,COMPLETE
