#{"t_start": 1646345717.811115, "env_id": "wordle-v0"}
r,l,t
7,7,0.031261
31,3,0.046876
20,7,0.062502
14,7,0.093751
13,6,0.109375
8,6,0.125
10,6,0.140627
35,8,0.156252
25,2,0.171876
-1,7,0.187501
7,6,0.203141
3,6,0.21875
5,6,0.25
10,9,0.265627
25,1,0.265627
0,7,0.296876
40,6,0.3125
-3,6,0.328125
45,4,0.34375
0,8,0.375002
25,1,0.375002
3,7,0.390626
25,1,0.406252
2,6,0.421876
2,6,0.4375
4,9,0.453127
3,7,0.484376
-7,9,0.5
3,6,0.531252
4,8,0.546878
7,6,0.562502
2,6,0.57813
50,6,0.609378
25,1,0.609378
47,4,0.625004
2,7,0.656251
-6,7,0.687501
22,6,0.703125
0,7,0.734375
36,5,0.765625
25,1,0.765625
6,7,0.781251
5,8,0.812502
42,8,1.6875
27,2,1.6875
15,6,1.703126
20,7,1.71875
32,7,1.750001
6,6,1.78125
12,6,1.796875
-4,6,1.828126
0,7,1.84375
29,3,1.84375
33,3,1.859377
14,6,1.875003
5,7,1.906251
41,3,1.921876
0,6,1.9375
-9,6,1.953125
0,7,1.96875
-1,7,1.984377
52,7,2.015626
2,9,2.031251
-3,6,2.062502
1,9,2.09375
3,6,2.109379
27,2,2.125001
-9,8,2.140628
48,4,2.156252
-5,6,2.171877
36,4,2.187501
49,6,2.203125
2,7,2.218752
1,6,2.234375
5,6,2.265634
7,6,2.281249
8,6,2.312499
-10,9,2.34375
25,1,2.359376
25,1,2.359376
-1,6,2.375001
-2,6,2.406251
31,3,2.406251
16,6,2.421877
53,5,2.453125
33,4,2.468752
0,7,2.484375
1,6,2.515626
42,5,2.531251
7,11,3.539604
6,7,3.570853
25,1,3.570853
3,8,3.602104
3,6,3.617727
27,3,3.633354
6,8,3.664604
12,6,3.680227
25,1,3.680227
17,6,3.695853
39,5,3.711477
14,7,3.742729
0,8,3.773979
-1,7,3.805229
39,6,3.83648
49,7,3.852106
18,9,3.898979
2,7,3.930229
29,2,3.930229
-4,6,3.96148
-1,8,3.992728
44,4,4.008355
10,6,4.039603
25,1,4.039603
25,1,4.039603
7,10,4.08648
43,7,4.102105
1,8,4.133352
-9,8,4.164606
8,6,4.18023
34,7,4.21148
6,6,4.273981
23,7,4.289605
58,7,4.320852
-6,9,4.367732
25,1,4.367732
32,3,4.383355
-9,6,4.414604
9,6,4.43023
