,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
26,26,-39.0,2022-03-08 21:00:47.026795,2022-03-08 21:02:39.738796,0 days 00:01:52.712001,64,0.2,0.00048163147865158386,0.8,0.95,8.319733876215359e-05,1.0,10,2048,0.7245140176502086,COMPLETE
27,27,-56.0,2022-03-08 21:01:20.703795,2022-03-08 21:02:10.760795,0 days 00:00:50.057000,64,0.2,0.00046475540558185994,0.98,0.95,8.610267539289998e-05,1.0,10,1024,0.748854659148922,PRUNED
28,28,-46.333333333333336,2022-03-08 21:01:51.900796,2022-03-08 21:03:01.444795,0 days 00:01:09.543999,32,0.2,0.0015618426580527463,0.98,0.99,0.0004045782133531564,2.0,10,128,0.7553026856000145,PRUNED
29,29,-59.333333333333336,2022-03-08 21:02:10.762795,2022-03-08 21:03:20.548795,0 days 00:01:09.786000,32,0.2,0.0001507425339472249,0.98,0.99,0.0004361765558628125,2.0,10,64,0.9304228158587007,PRUNED
30,30,-51.333333333333336,2022-03-08 21:02:39.741796,2022-03-08 21:03:50.992801,0 days 00:01:11.251005,32,0.1,0.0017318087799610788,0.8,0.95,0.000399561783344078,2.0,5,128,0.6952164773167425,PRUNED
31,31,-56.0,2022-03-08 21:03:01.445795,2022-03-08 21:03:50.785796,0 days 00:00:49.340001,64,0.1,0.0010913041757690737,0.8,0.8,0.00011985019861384572,0.5,1,64,0.5318743905759912,PRUNED
32,32,-50.666666666666664,2022-03-08 21:03:20.549796,2022-03-08 21:03:57.880849,0 days 00:00:37.331053,64,0.1,0.0010857064761591218,0.8,0.8,0.00012947365361544374,0.5,1,512,0.6798489324223851,PRUNED
33,33,-48.0,2022-03-08 21:03:59.201796,2022-03-08 21:04:50.144796,0 days 00:00:50.943000,64,0.3,0.0005053996770296344,0.99,0.999,7.968656334942383e-05,0.3,10,2048,0.9975886218027544,PRUNED
34,34,-46.333333333333336,2022-03-08 21:03:59.204796,2022-03-08 21:04:51.528796,0 days 00:00:52.324000,64,0.3,0.0005622959558360239,0.99,0.999,3.905560014118196e-05,0.3,10,2048,0.9978631270787305,PRUNED
35,35,-52.0,2022-03-08 21:03:59.209796,2022-03-08 21:04:51.670795,0 days 00:00:52.460999,64,0.3,0.0005566517964104708,0.99,0.999,0.0001870830045734583,1.0,10,2048,0.8098549772144092,PRUNED
36,36,-47.0,2022-03-08 21:04:50.145796,2022-03-08 21:06:48.083796,0 days 00:01:57.938000,64,0.2,0.000269548096529014,1.0,0.95,0.00019185775723578333,1.0,10,2048,0.7977144162837934,COMPLETE
37,37,-47.333333333333336,2022-03-08 21:04:51.529795,2022-03-08 21:05:33.729796,0 days 00:00:42.200001,128,0.2,0.0002501840879811811,1.0,0.95,0.00022515013310708045,1.0,10,2048,0.7897514278165134,PRUNED
38,38,-52.333333333333336,2022-03-08 21:04:51.672795,2022-03-08 21:05:33.675796,0 days 00:00:42.003001,128,0.2,0.0002908245438381215,1.0,0.95,4.1265253910643784e-05,0.7,10,2048,0.916135627366675,PRUNED
39,39,-47.0,2022-03-08 21:05:33.677796,2022-03-08 21:06:10.615796,0 days 00:00:36.938000,256,0.2,0.0008887104905146921,0.95,0.995,7.417952007078294e-05,1.0,5,1024,0.9289774593940736,PRUNED
40,40,-52.0,2022-03-08 21:05:33.731796,2022-03-08 21:06:10.827796,0 days 00:00:37.096000,256,0.2,0.0008519938287610126,0.95,0.995,0.0006101526472599415,1.0,5,1024,0.9201998633204361,PRUNED
41,41,-46.0,2022-03-08 21:06:10.617796,2022-03-08 21:07:02.402796,0 days 00:00:51.785000,64,0.2,0.00013183954540533873,0.98,0.99,0.0006029448818077935,0.9,1,256,0.8921123738021788,PRUNED
42,42,-53.666666666666664,2022-03-08 21:06:10.829795,2022-03-08 21:07:02.666797,0 days 00:00:51.837002,64,0.4,0.0001772435933100581,0.98,0.99,1.117955453011207e-05,0.9,10,256,0.7679772028092939,PRUNED
43,43,-53.666666666666664,2022-03-08 21:06:48.086796,2022-03-08 21:07:37.867796,0 days 00:00:49.781000,64,0.2,0.00012016294898523378,0.95,0.95,0.0008107809452904181,0.9,10,64,0.8960367373006342,PRUNED
44,44,-48.333333333333336,2022-03-08 21:07:02.404797,2022-03-08 21:07:55.073796,0 days 00:00:52.668999,64,0.2,0.0001312259296412587,0.95,0.95,0.0008678223237685582,0.9,10,64,0.7366596439591135,PRUNED
45,45,-53.333333333333336,2022-03-08 21:07:02.668795,2022-03-08 21:07:55.561795,0 days 00:00:52.893000,64,0.2,0.00010621042195680236,0.95,0.95,0.0009374182173371591,0.9,10,64,0.9497011090473343,PRUNED
46,46,-50.0,2022-03-08 21:07:37.868795,2022-03-08 21:08:32.275795,0 days 00:00:54.407000,64,0.2,0.0001054391186935425,0.95,0.95,0.0001496413685159252,0.9,10,64,0.843907641624543,PRUNED
47,47,-48.333333333333336,2022-03-08 21:07:55.074796,2022-03-08 21:08:49.257795,0 days 00:00:54.182999,64,0.2,0.00010127888613887392,0.95,0.9999,0.00033447419023836897,0.7,10,64,0.9531440885416762,PRUNED
48,48,-48.666666666666664,2022-03-08 21:07:55.562795,2022-03-08 21:08:28.802796,0 days 00:00:33.240001,512,0.2,0.0003666450094420532,0.9,0.9999,0.00015397659560225022,0.7,1,512,0.8552574668683236,PRUNED
49,49,-50.0,2022-03-08 21:08:28.803795,2022-03-08 21:09:20.949801,0 days 00:00:52.146006,64,0.2,0.0034210143839104794,0.92,0.9,0.0003158395584405904,5.0,10,512,0.9596349736871669,PRUNED
50,50,-54.0,2022-03-08 21:08:32.276795,2022-03-08 21:10:26.719795,0 days 00:01:54.443000,64,0.2,0.008003374590037951,0.92,0.8,0.0003163826520964771,5.0,1,128,0.6464614340154584,COMPLETE
51,51,-45.0,2022-03-08 21:08:49.258796,2022-03-08 21:10:43.940795,0 days 00:01:54.681999,64,0.1,0.008170668680184043,0.92,0.8,6.983267516921746e-05,5.0,20,128,0.49381472021634315,COMPLETE
52,52,-49.333333333333336,2022-03-08 21:09:20.951795,2022-03-08 21:10:02.224796,0 days 00:00:41.273001,512,0.4,0.00032036530460974127,0.99,0.9999,6.969992934232198e-05,2.0,1,128,0.6425286889643174,PRUNED
53,53,-36.0,2022-03-08 21:10:02.226795,2022-03-08 21:11:59.522796,0 days 00:01:57.296001,64,0.2,0.0004084610078957822,0.8,0.95,0.00010906132379528626,1.0,20,2048,0.8872835634440819,COMPLETE
54,54,-51.666666666666664,2022-03-08 21:10:26.721795,2022-03-08 21:11:18.461796,0 days 00:00:51.740001,64,0.2,0.00042513250162219473,0.8,0.95,0.00010949615609281077,1.0,20,2048,0.8844080487805763,PRUNED
55,55,-52.666666666666664,2022-03-08 21:10:43.943797,2022-03-08 21:12:43.730796,0 days 00:01:59.786999,64,0.2,0.00039762166670628623,0.8,0.95,0.00010369201783391231,1.0,20,2048,0.8936882497226192,COMPLETE
56,56,-52.333333333333336,2022-03-08 21:11:18.465796,2022-03-08 21:12:08.616796,0 days 00:00:50.151000,64,0.2,0.00022090629968989236,0.8,0.95,5.072558506704225e-05,1.0,20,2048,0.38756401917505995,PRUNED
57,57,-49.0,2022-03-08 21:11:59.525796,2022-03-08 21:12:53.628796,0 days 00:00:54.103000,64,0.2,0.00016229094955107763,0.8,0.95,5.3301162742536586e-05,1.0,20,2048,0.8348261710742952,PRUNED
58,58,-48.333333333333336,2022-03-08 21:12:08.617797,2022-03-08 21:12:48.581795,0 days 00:00:39.963998,128,0.2,0.00017574440214612562,0.8,0.95,0.00025901754248909017,2.0,20,512,0.828395741999628,PRUNED
59,59,-48.0,2022-03-08 21:12:43.733796,2022-03-08 21:14:12.616797,0 days 00:01:28.883001,128,0.2,0.00017919208112312235,0.99,0.99,0.00014021006152455578,2.0,20,512,0.8289209145313621,COMPLETE
60,60,-52.333333333333336,2022-03-08 21:12:48.582796,2022-03-08 21:13:59.824796,0 days 00:01:11.242000,32,0.2,0.00032141616195201445,0.99,0.99,4.603835879476948e-05,0.5,1,512,0.9753585762115591,PRUNED
