#{"t_start": 1646344324.9513898, "env_id": "wordle-v0"}
r,l,t
-9,6,0.09375
27,2,0.09375
40,5,0.124999
25,1,0.124999
0,6,0.156251
7,6,0.171875
32,4,0.1875
-8,9,0.234374
43,7,0.249999
25,1,0.265625
31,8,0.28125
-1,7,0.3125
-2,9,0.34375
-1,8,0.359376
1,6,0.375
33,9,0.40625
25,1,0.40625
41,6,0.421875
17,6,0.4375
34,2,0.453125
3,6,0.46875
7,6,0.484374
-4,7,0.499996
-7,9,0.515623
33,4,0.531248
4,8,0.546871
8,7,0.562496
-7,9,0.57812
5,7,0.593745
5,9,0.624998
-3,6,0.640621
-7,8,0.656249
13,8,0.671871
25,1,0.671871
41,6,0.687497
6,10,0.718748
-7,10,0.734373
29,2,0.734373
31,3,0.749999
-2,11,0.765621
-2,8,0.796872
50,5,1.531248
32,4,1.531248
25,1,1.531248
17,8,1.562502
25,1,1.562502
25,1,1.60937
13,8,1.624996
-3,10,1.656246
32,6,1.671872
40,3,1.671872
36,4,1.687497
25,1,1.687497
3,7,1.703122
26,4,1.703122
27,2,1.718748
6,7,1.734373
25,1,1.734373
25,1,1.734373
-6,9,1.765624
42,5,1.765624
34,8,1.781246
8,7,1.812495
32,4,1.812495
-5,9,1.843747
10,6,1.843747
25,1,1.859371
36,7,1.859371
-9,6,1.874995
8,8,1.890621
-1,6,1.906247
39,7,1.921872
25,1,1.921872
9,8,1.95312
48,5,1.95312
6,6,1.968747
3,6,1.984372
25,1,1.984372
47,3,1.999997
39,6,1.999997
47,7,2.015621
-5,6,2.031247
29,2,2.031247
25,1,2.046873
11,6,2.062502
37,8,2.078122
9,7,2.093747
-3,6,2.109373
6,7,2.124997
5,8,2.140623
8,6,2.156247
-2,7,2.843749
27,3,2.859375
35,2,2.859375
25,1,2.859375
13,10,2.890624
-3,8,2.921874
2,8,2.948847
6,8,2.964475
14,9,2.995727
-2,9,3.01135
11,6,3.026976
36,7,3.058226
25,1,3.058226
37,7,3.073851
37,14,3.1051
49,5,3.120726
-2,8,3.136351
12,7,3.151975
28,6,3.1676
44,6,3.183223
11,9,3.214474
25,2,3.214474
1,7,3.230098
19,6,3.245726
16,7,3.261352
29,2,3.276973
9,6,3.292598
43,4,3.292598
4,8,3.323852
10,11,3.355101
25,1,3.355101
45,8,3.370727
9,7,3.401976
-5,7,3.4176
-13,8,3.480102
14,8,3.542603
-1,8,3.573853
27,2,3.573853
45,5,3.589477
-7,8,3.605102
27,2,4.401976
2,9,4.433225
1,7,4.448849
0,7,4.464473
7,7,4.480112
6,8,4.511351
28,4,4.511351
-6,9,4.542604
25,1,4.542604
2,7,4.573849
-3,6,4.589475
25,1,4.589475
27,5,4.6051
-4,9,4.620722
27,2,4.636347
6,7,4.651976
-4,6,4.667601
5,8,4.683224
25,1,4.683224
33,5,4.69885
55,5,4.714476
35,4,4.730101
31,2,4.730101
31,4,4.730101
-7,8,4.761348
37,6,4.776974
-6,9,4.7926
-4,7,4.808224
-11,10,4.839476
34,10,4.855102
-7,9,4.88635
4,7,4.901975
29,2,4.901975
16,8,4.933226
2,8,4.948851
7,6,4.964475
50,8,4.995724
2,9,5.011351
14,8,5.058225
3,7,5.073848
25,1,5.073848
2,8,5.089474
25,1,5.745723
28,4,5.745723
17,7,5.761349
32,4,5.776975
33,5,5.792598
67,7,5.808224
27,3,5.808224
30,2,5.823849
-8,8,5.839475
25,1,5.839475
-5,12,5.870723
37,5,5.870723
5,6,5.88635
42,4,5.901975
-7,8,5.933223
6,7,5.948848
33,3,5.948848
-8,6,5.964475
0,10,5.995725
25,1,5.995725
3,7,6.011349
-11,12,6.0426
40,6,6.058224
-5,7,6.073848
37,5,6.089474
37,6,6.089474
33,4,6.105099
27,2,6.105099
-2,7,6.136349
25,1,6.136349
9,6,6.151974
-4,10,6.167603
-3,11,6.198849
40,6,6.214474
25,1,6.214474
9,7,6.230098
17,10,6.261347
9,9,6.276974
29,6,6.292604
-3,7,6.308224
0,6,6.323849
25,1,6.323849
7,8,6.339475
42,7,6.370724
33,3,7.011349
5,8,7.026973
-1,8,7.042598
-5,12,7.07388
3,6,7.089475
6,10,7.120726
6,7,7.136349
2,8,7.151974
18,7,7.183228
-9,6,7.183228
2,6,7.198849
-3,7,7.214475
25,2,7.230099
31,2,7.230099
45,5,7.245726
32,9,7.276976
15,6,7.292603
36,8,7.323851
31,3,7.323851
34,4,7.339477
37,7,7.355102
25,1,7.355102
11,6,7.386353
45,5,7.386353
41,5,7.401977
-5,9,7.433227
-4,8,7.448853
-1,10,7.480102
37,7,7.495723
38,7,7.51135
10,9,7.542598
43,4,7.542598
29,2,7.558226
25,1,7.558226
8,8,7.573851
27,2,7.589476
17,8,7.605102
16,11,7.636352
-9,10,7.667603
-2,11,8.464736
29,2,8.480361
-3,6,8.480361
45,5,8.495985
7,6,8.511608
25,1,8.511608
10,6,8.542859
25,1,8.542859
-4,8,8.558484
29,3,8.575315
5,10,8.590944
46,7,8.60657
25,1,8.60657
38,8,8.637816
53,6,8.653442
7,7,8.669066
19,7,8.684691
42,5,8.700317
44,6,8.715941
30,6,8.731568
36,3,8.731568
-5,7,8.747192
8,6,8.762819
47,11,8.794067
0,10,8.825317
-2,10,8.840942
38,5,8.85657
44,8,8.887818
0,7,8.903443
25,1,8.903443
19,11,8.934693
5,7,8.950317
27,2,8.965942
-6,9,8.981568
-4,7,8.997193
35,3,8.997193
2,7,9.028444
31,3,9.028444
29,4,9.044068
-4,7,9.059694
-4,10,9.090942
43,4,9.090942
3,8,9.122191
-13,8,9.840945
34,2,9.840945
11,8,9.856569
-3,10,9.887817
0,7,9.903442
30,5,9.91907
48,6,9.934691
-7,6,9.950317
38,4,9.950317
-6,7,9.981567
29,3,9.981567
5,11,10.012816
45,8,10.028441
4,7,10.044072
27,2,10.044072
30,5,10.059694
2,8,10.075317
