#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
33,12,13.288473
28,8,13.304098
33,4,13.319723
25,1,13.319723
29,2,13.335348
25,1,13.335348
28,3,13.335348
23,4,13.350972
30,4,13.366599
27,4,13.382222
-11,14,13.413474
30,5,13.429098
28,4,13.429098
32,5,13.444722
27,2,13.444722
35,10,14.163475
-10,9,14.179099
37,7,14.194725
29,2,14.210347
-6,11,14.241598
31,3,14.241598
25,1,14.241598
48,9,14.272849
25,1,14.272849
29,2,14.272849
25,1,14.288472
-13,12,14.319724
37,5,14.335349
26,4,14.335349
27,2,14.350974
33,14,14.382224
29,2,14.382224
-5,6,14.397849
26,19,14.444724
33,7,14.46035
27,2,14.46035
25,2,14.475975
28,5,14.475975
36,7,14.507226
25,1,14.507226
25,1,14.507226
31,9,14.538474
30,6,14.554099
27,13,14.585348
14,33,14.663473
31,11,14.694724
32,13,14.725974
26,4,14.741601
-20,23,14.8041
33,9,15.538477
29,5,15.538477
36,7,15.569725
25,1,15.569725
28,4,15.585349
43,7,15.600974
33,12,15.632222
29,3,15.647847
33,14,15.679099
31,3,15.679099
48,6,15.694723
32,7,15.710349
27,2,15.725972
32,8,15.741599
29,4,15.757222
25,1,15.757222
41,4,15.77285
6,7,15.788472
36,8,15.804098
27,2,15.819724
36,6,15.837444
28,4,15.848444
39,8,15.861513
25,5,15.877139
30,12,15.892765
25,1,15.908389
25,2,15.908389
27,2,15.908389
30,7,15.924016
32,4,15.939639
28,12,15.97089
30,10,16.002139
25,1,16.002139
25,1,16.002139
29,2,16.017764
29,3,16.017764
31,3,16.03339
25,1,16.03339
11,6,16.049016
29,5,16.06464
33,9,16.08027
30,13,16.111514
29,2,16.12714
29,3,16.12714
34,13,16.174015
33,5,16.174015
33,12,16.908392
31,5,16.924013
34,11,16.955266
29,2,16.970889
30,15,17.00214
33,4,17.00214
35,12,17.049015
32,4,17.049015
25,1,17.064642
28,4,17.064642
43,10,17.09589
-5,8,17.127141
30,4,17.127141
32,4,17.142766
29,3,17.142766
29,2,17.15839
30,11,17.174015
43,7,17.205266
29,2,17.205266
35,9,17.22089
35,12,17.25214
32,8,17.267766
33,4,17.283391
32,15,17.314641
27,2,17.330265
43,5,17.345891
-4,7,17.361513
40,15,17.424013
35,5,17.424013
-15,14,17.47089
30,4,17.486515
25,1,17.486515
25,2,17.486515
27,2,17.502139
-4,9,17.517765
49,8,17.549016
25,1,17.549016
25,1,17.549016
21,20,18.392765
25,1,18.392765
27,2,18.408389
27,5,18.424015
-10,15,18.470891
34,5,18.486516
31,6,18.517763
44,13,18.56464
35,7,18.580265
29,2,18.59589
31,4,18.611515
31,3,18.611515
30,7,18.627141
37,7,18.658389
25,1,18.658389
27,3,18.674014
-9,10,18.705266
30,4,18.705266
44,9,18.736514
29,3,18.752141
27,2,18.752141
37,2,18.752141
33,3,18.767767
32,7,18.783388
35,4,18.799014
29,2,18.814638
31,8,18.830266
33,12,18.861514
28,4,18.87714
30,4,18.892764
28,3,18.908388
