#{"t_start": 1646660892.817173, "env_id": "WordleWord-v0"}
r,l,t
6,27,0.093741
20,6,0.109368
51,6,0.140618
47,5,0.140618
39,6,0.156242
-1,8,0.187492
45,6,0.203116
24,6,0.218742
23,7,0.234368
-45,58,0.374992
46,6,0.374992
41,3,0.390618
41,3,0.390618
10,6,0.406244
10,6,0.421868
57,4,0.437492
4,10,0.468743
36,6,0.484367
54,6,0.499991
20,6,0.515617
33,6,0.531242
19,10,0.546866
44,6,0.562491
27,6,0.578118
67,5,0.593744
11,6,0.624994
25,6,0.640619
49,4,0.640619
22,6,0.671869
20,30,1.109369
10,6,1.124991
35,6,1.140617
32,2,1.156242
22,6,1.171869
23,7,1.187492
40,4,1.203117
48,6,1.218742
26,6,1.234367
-1,34,1.312492
10,7,1.343742
52,5,1.359367
13,6,1.359367
22,6,1.374993
39,3,1.390617
17,6,1.40624
17,6,1.421865
8,29,1.484367
13,6,1.499991
19,6,1.515618
15,7,1.546867
2,10,1.562493
66,5,1.578117
35,7,1.609367
40,6,1.624993
33,3,1.624993
47,4,1.640617
43,4,1.640617
45,5,1.656242
28,6,1.671868
28,6,1.687492
32,2,1.703118
44,6,1.718743
27,6,1.734368
12,6,2.124994
50,4,2.124994
56,4,2.140617
5,6,2.156243
18,6,2.17187
34,7,2.187491
30,7,2.218741
17,9,2.234368
26,12,2.265616
45,6,2.281242
14,6,2.296868
56,5,2.312492
8,6,2.328118
32,6,2.343743
1,7,2.359367
6,13,2.390618
41,3,2.390618
34,7,2.406243
26,7,2.421866
15,6,2.437491
10,9,2.468742
12,6,2.484368
20,8,2.499992
18,6,2.515618
30,7,2.531241
-6,49,2.640618
2,6,2.656244
19,6,2.671869
36,6,2.687493
-49,57,3.187494
10,8,3.218742
43,5,3.218742
66,9,3.249992
8,7,3.265618
26,7,3.281243
36,3,3.296866
22,7,3.312493
8,6,3.328117
8,7,3.343741
36,3,3.359368
28,7,3.374991
51,4,3.390619
24,7,3.406243
22,6,3.421869
17,8,3.437493
55,6,3.453118
43,4,3.468743
5,8,3.484369
14,7,3.515618
67,5,3.515618
32,6,3.531241
21,7,3.562492
61,7,3.578117
17,7,3.593743
-40,73,4.165212
36,3,4.180837
17,6,4.196462
43,5,4.212085
4,9,4.227711
46,6,4.243336
37,6,4.258963
36,6,4.274586
10,7,4.305835
48,4,4.305835
48,4,4.321461
13,7,4.337087
20,6,4.35271
19,6,4.368337
32,2,4.368337
21,7,4.399586
