#{"t_start": 1646848340.6345458, "env_id": "wordle-v0"}
r,l,t
-28,30,33.539001
-39,30,33.570007
27,30,33.598002
34,30,33.629054
11,30,33.655
-31,30,33.689001
-8,30,33.736012
-7,30,33.772003
6,30,33.804005
-10,30,33.835002
11,30,33.866001
34,30,33.898
12,30,33.930002
-6,30,33.961
-7,30,33.994
-9,30,34.024001
3,30,34.053
-9,30,34.078999
-18,30,34.109
-9,30,34.135
-17,30,34.18
-9,30,34.211
-8,30,34.24
16,30,34.273
4,30,34.305001
-12,30,34.408
-28,30,34.485002
1,30,34.554
14,30,34.589
-3,30,34.620001
14,30,34.659001
16,30,34.72
44,30,34.780001
3,30,34.832001
-53,30,34.876
-19,30,34.908001
16,30,34.94
16,30,34.975
-39,30,35.138
5,30,35.179002
7,30,35.222002
4,30,35.261001
9,30,35.304001
20,30,35.339
16,30,35.374001
7,30,35.40801
-29,30,35.435
3,30,35.463001
-19,30,35.493
19,30,35.521
5,30,35.546005
-37,30,35.573
17,30,35.599
38,30,35.624
17,30,35.667
26,30,35.700001
32,30,35.730001
-5,30,35.764001
-14,30,35.797
-2,30,35.829999
17,30,35.863
53,30,35.896001
-6,30,35.924
54,30,40.720999
-9,30,40.757999
-75,30,40.796
-1,30,40.831
3,30,40.865
-8,30,40.9
-20,30,40.931
9,30,40.960006
-3,30,40.993999
-39,30,41.028001
-8,30,41.056001
6,30,41.085
38,30,41.115001
-20,30,41.141006
-26,30,41.171001
5,30,41.200007
-9,30,41.226001
36,30,41.252
2,30,41.284
-60,30,41.315006
-10,30,41.348005
-10,30,41.374
22,30,41.402001
-7,30,41.429001
28,30,41.465999
-11,30,41.494
3,30,41.525001
-36,30,41.553
8,30,41.582005
20,30,41.609001
37,30,41.648006
-28,30,41.674
25,30,41.701
-23,30,41.732
26,30,41.761
-10,30,41.791
23,30,41.820001
-13,30,41.851001
39,30,41.88
13,30,41.908001
-6,30,41.934001
-2,30,41.959
34,30,41.985
31,30,42.011999
-59,30,42.043001
-13,30,42.075002
4,30,42.104
-29,30,42.134
-14,30,42.165
36,30,42.194
-11,30,42.221
1,30,42.25
7,30,42.279
11,30,42.308001
-23,30,42.337001
-1,30,42.366
-6,30,42.395999
3,30,42.434999
39,30,42.464
57,30,42.491
-2,30,42.519999
17,30,42.549
19,30,42.577
7,30,42.603001
2,30,42.635
3,30,42.661
-42,30,42.69
-10,30,42.72
-6,30,47.946999
5,30,47.978
-2,30,48.008
-25,30,48.037
-18,30,48.068999
22,30,48.104001
-23,30,48.134
16,30,48.161
10,30,48.191
-16,30,48.217
-18,30,48.241
14,30,48.271
-6,30,48.300005
-7,30,48.331006
-24,30,48.357002
-19,30,48.387
-11,30,48.416
-14,30,48.448
0,30,48.476999
-23,30,48.506
-24,30,48.539
43,30,48.566
27,30,48.595
3,30,48.635001
16,30,48.660999
4,30,48.691002
-15,30,48.718
-9,30,48.751002
0,30,48.781001
-10,30,48.813001
-5,30,48.839001
-46,30,48.873001
-16,30,48.904
11,30,48.930007
-12,30,48.959
-10,30,48.987001
30,30,49.019001
31,30,49.049001
25,30,49.079
-19,30,49.114003
21,30,49.149001
-34,30,49.182001
-5,30,49.217
-17,30,49.243
13,30,49.272
37,30,49.3
19,30,49.332
1,30,49.358
-3,30,49.387
-3,30,49.423
-10,30,49.457005
11,30,49.487999
21,30,49.520001
29,30,49.553001
38,30,49.585001
2,30,49.611
-2,30,49.652001
-52,30,49.685001
15,30,49.713001
6,30,49.742001
-1,30,49.77
26,30,49.799001
-9,30,49.830999
-12,30,49.868999
-6,30,49.905
-1,30,49.938
-11,30,49.971002
31,30,50.003
15,30,50.036005
-2,30,55.682021
37,30,55.734
0,30,55.788
-29,30,55.83
-31,30,55.857005
-19,30,55.886003
26,30,55.912006
-2,30,55.943
-6,30,55.971005
-31,30,55.998005
38,30,56.025001
9,30,56.052001
-27,30,56.077999
21,30,56.108
-43,30,56.134
-19,30,56.161001
-18,30,56.185999
6,30,56.215001
-1,30,56.245001
20,30,56.271
-12,30,56.312
13,30,56.341
-9,30,56.372005
13,30,56.401006
-4,30,56.431999
-2,30,56.464999
-29,30,56.497005
-6,30,56.529
-23,30,56.559
5,30,56.585
36,30,56.609999
13,30,56.639
4,30,56.665001
1,30,56.695001
-36,30,56.724001
11,30,56.751001
19,30,56.78
7,30,56.809
-16,30,56.834
-20,30,56.857002
22,30,56.885001
-36,30,56.914001
12,30,56.943001
39,30,56.969
70,30,56.997
-10,30,57.02
8,30,57.045001
25,30,57.071001
-17,30,57.104
55,30,57.134001
-16,30,57.163
37,30,57.192001
5,30,57.221005
35,30,57.247
7,30,57.292
-39,30,57.325
2,30,57.353999
-11,30,57.381001
-26,30,57.409005
-3,30,57.437001
-12,30,57.468
-31,30,57.493
28,30,57.517999
-7,30,57.543001
-27,30,57.573001
24,30,57.598
24,30,57.623
6,30,57.649002
-3,30,62.174
4,30,62.206
8,30,62.235
-4,30,62.268
55,30,62.297
-6,30,62.329
32,30,62.360001
57,30,62.387002
-28,30,62.417001
-5,30,62.445
28,30,62.474
22,30,62.503
7,30,62.532
5,30,62.561001
4,30,62.597001
21,30,62.630001
27,30,62.659001
-29,30,62.692
7,30,62.723001
-7,30,62.769
-21,30,62.800999
-15,30,62.832
-5,30,62.862999
-16,30,62.894003
41,30,62.923001
-10,30,62.953
4,30,62.980001
-25,30,63.003
-28,30,63.032
-6,30,63.063006
31,30,63.094004
12,30,63.123
-19,30,63.153001
-51,30,63.178001
-19,30,63.206
9,30,63.234
-10,30,63.260001
6,30,63.283999
8,30,63.313
-7,30,63.343004
-9,30,63.372
17,30,63.399
27,30,63.429
-11,30,63.457
3,30,63.486002
-18,30,63.519
-19,30,63.552001
6,30,63.586
1,30,63.619
-29,30,63.648
-21,30,63.678
-75,30,63.709
-8,30,63.751005
-53,30,63.781999
32,30,63.811
-40,30,63.841
27,30,63.870001
15,30,63.901
-22,30,63.937
29,30,63.964
41,30,63.989
10,30,64.013001
-29,30,64.039001
-10,30,64.061999
-20,30,64.091001
0,30,64.121001
11,30,64.152
-3,30,64.185
11,30,70.583019
-8,30,70.617001
27,30,70.652
-48,30,70.689
-10,30,70.724999
35,30,70.759001
-6,30,70.792
13,30,70.822
-46,30,70.851001
3,30,70.883999
-4,30,70.913005
6,30,70.946999
8,30,70.980001
44,30,71.011
0,30,71.041
21,30,71.067
-7,30,71.099
24,30,71.128999
-17,30,71.168
10,30,71.196002
-36,30,71.222053
-3,30,71.25
29,30,71.276
-6,30,71.303
-10,30,71.334002
-33,30,71.365
-3,30,71.397
-17,30,71.431
18,30,71.458
16,30,71.49
23,30,71.52
2,30,71.548
2,30,71.576001
45,30,71.608
0,30,71.635
12,30,71.665001
0,30,71.695999
30,30,71.722001
-10,30,71.75
-28,30,71.777001
-11,30,71.810005
14,30,71.840001
1,30,71.869999
-10,30,71.901002
-16,30,71.929005
6,30,71.959005
1,30,71.987999
25,30,72.014002
-30,30,72.043
-15,30,72.069
13,30,72.096005
-26,30,72.135999
-26,30,72.161999
6,30,72.189
-16,30,72.218
4,30,72.247001
5,30,72.273
11,30,72.298
4,30,72.328
-1,30,72.358999
-14,30,72.393001
-3,30,72.421
1,30,72.451002
6,30,72.48001
-3,30,72.509011
3,30,72.536999
17,30,72.565005
-9,30,72.592
4,30,78.879
