,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,-1.0,2022-03-06 15:40:23.262867,2022-03-06 15:41:50.359611,0 days 00:01:27.096744,32,0.3,0.004719014138135538,0.9,0.95,2.9464486831626676e-05,0.3,5,256,0.565940856512966,COMPLETE
1,1,1.6666666666666667,2022-03-06 15:41:50.359611,2022-03-06 15:42:47.113371,0 days 00:00:56.753760,256,0.3,0.0028203649889090333,0.8,0.9,2.0372396680116798e-05,0.3,1,256,0.31609139366355443,COMPLETE
2,2,-1.0,2022-03-06 15:42:47.113371,2022-03-06 15:43:51.861569,0 days 00:01:04.748198,32,0.1,0.000550864020365038,0.9,0.9999,1.065068296079158e-05,0.3,1,512,0.6323762269275985,COMPLETE
3,3,,2022-03-06 15:43:51.861569,,,512,0.1,0.0029149890079534302,1.0,0.9,0.00028549102366800323,0.9,5,128,0.7841833002884634,RUNNING
4,4,-2.3333333333333335,2022-03-06 15:44:21.843847,2022-03-06 15:45:33.931925,0 days 00:01:12.088078,64,0.1,0.002800085046613807,0.95,0.95,6.352262862036287e-05,1.0,5,256,0.4100583191740027,COMPLETE
5,5,0.0,2022-03-06 15:45:33.947550,2022-03-06 15:46:30.538395,0 days 00:00:56.590845,64,0.4,0.0049106403862238255,0.95,0.995,4.424900425882993e-05,2.0,1,64,0.4986489276006961,COMPLETE
6,6,-3.3333333333333335,2022-03-06 15:46:30.554021,2022-03-06 15:47:18.121488,0 days 00:00:47.567467,256,0.2,0.00021098926644540542,0.8,0.9,0.0007606787011981706,0.5,20,128,0.021417992263401964,PRUNED
7,7,-0.6666666666666666,2022-03-06 15:47:18.121488,2022-03-06 15:47:48.848744,0 days 00:00:30.727256,512,0.3,0.001163880523077664,1.0,0.99,0.000291789700745463,0.7,10,2048,0.9953034788776833,PRUNED
8,8,4.333333333333333,2022-03-06 15:47:48.848744,2022-03-06 15:48:46.384985,0 days 00:00:57.536241,128,0.3,0.00996854416707866,0.99,0.9,1.110254746541262e-05,5.0,1,1024,0.1463444427428761,COMPLETE
9,9,2.3333333333333335,2022-03-06 15:48:46.384985,2022-03-06 15:49:34.762315,0 days 00:00:48.377330,128,0.4,0.009669671400651137,0.99,0.999,0.00015981156136531094,5.0,20,1024,0.04690110648886775,PRUNED
10,10,-1.3333333333333333,2022-03-06 15:49:34.762315,2022-03-06 15:50:48.828736,0 days 00:01:14.066421,128,0.2,0.00010536414391609583,0.98,0.9,1.0833814403354363e-05,0.9,10,1024,0.26065238844252103,COMPLETE
11,11,1.0,2022-03-06 15:50:48.828736,2022-03-06 15:51:16.190112,0 days 00:00:27.361376,128,0.3,0.0008861822101586333,0.99,0.999,0.00014525830357029878,5.0,1,1024,0.7695809470777355,PRUNED
12,12,-4.0,2022-03-06 15:51:16.190112,2022-03-06 15:51:42.085226,0 days 00:00:25.895114,256,0.3,0.00883270058399619,0.8,0.9,2.0438739086607646e-05,0.3,1,256,0.2329160765336829,PRUNED
13,13,2.3333333333333335,2022-03-06 15:51:42.085226,2022-03-06 15:52:36.827423,0 days 00:00:54.742197,256,0.3,0.0022781000529666596,0.92,0.9,1.8657406004402554e-05,5.0,1,2048,0.2139038570835118,COMPLETE
14,14,-0.3333333333333333,2022-03-06 15:52:37.614423,2022-03-06 15:53:35.363267,0 days 00:00:57.748844,512,0.3,0.0016567800882844052,0.92,0.9,1.1254809110436641e-05,5.0,1,2048,0.1561173122976665,COMPLETE
15,15,-2.0,2022-03-06 15:53:35.363267,2022-03-06 15:54:05.125587,0 days 00:00:29.762320,256,0.3,0.0004556376482502612,0.92,0.9999,7.335609367383143e-05,5.0,1,2048,0.137896295740828,PRUNED
16,16,-2.6666666666666665,2022-03-06 15:54:05.125587,2022-03-06 15:54:35.109372,0 days 00:00:29.983785,128,0.3,0.005170552817276024,0.92,0.99,2.606302534560265e-05,5.0,1,64,0.3745206205647683,PRUNED
17,17,7.666666666666667,2022-03-06 15:54:35.109372,2022-03-06 15:55:44.104507,0 days 00:01:08.995135,256,0.4,0.002076470411065495,0.99,0.995,1.736077125908686e-05,0.7,10,512,0.18396492934609354,COMPLETE
18,18,5.0,2022-03-06 15:55:44.104507,2022-03-06 15:56:22.541954,0 days 00:00:38.437447,128,0.4,0.0007255706769429962,0.99,0.995,3.736096080637909e-05,0.7,10,512,0.09874943797725369,PRUNED
19,19,9.333333333333334,2022-03-06 15:56:22.541954,2022-03-06 15:57:27.859200,0 days 00:01:05.317246,512,0.4,0.0003195808603766084,0.99,0.995,0.0005674718814446484,0.7,10,512,0.41707447811805726,COMPLETE
20,20,5.666666666666667,2022-03-06 15:57:27.859200,2022-03-06 15:58:33.985971,0 days 00:01:06.126771,512,0.4,0.00032461895129076804,0.99,0.995,0.0008875926660428429,0.7,10,512,0.7060776195760261,COMPLETE
21,21,10.666666666666666,2022-03-06 15:58:33.985971,2022-03-06 15:59:40.686763,0 days 00:01:06.700792,512,0.4,0.00020748204367118143,1.0,0.995,0.0005003504726077347,0.7,10,512,0.4266804049723691,COMPLETE
22,22,11.0,2022-03-06 15:59:40.686763,2022-03-06 16:00:48.812529,0 days 00:01:08.125766,512,0.4,0.0001909145813198715,1.0,0.995,0.00044815201164218234,0.7,10,512,0.4705617303379153,COMPLETE
23,23,-1.6666666666666667,2022-03-06 16:00:48.812529,2022-03-06 16:01:22.745960,0 days 00:00:33.933431,512,0.4,0.000154325888527533,1.0,0.995,0.0004916809214208726,0.7,10,512,0.4702581714587705,PRUNED
24,24,7.333333333333333,2022-03-06 16:01:24.011585,2022-03-06 16:02:26.815510,0 days 00:01:02.803925,512,0.4,0.00021751350003599621,1.0,0.995,0.00033966104760652164,0.7,10,512,0.571501143761162,COMPLETE
25,25,4.666666666666667,2022-03-06 16:02:26.815510,2022-03-06 16:02:57.446251,0 days 00:00:30.630741,512,0.4,0.0003198088024065338,1.0,0.995,0.000580025738430695,0.7,10,512,0.3982874720310635,PRUNED
26,26,2.0,2022-03-06 16:02:57.446251,2022-03-06 16:04:10.762666,0 days 00:01:13.316415,512,0.4,0.000100781141937235,1.0,0.995,0.000314929244001342,0.5,10,128,0.3281254405233227,COMPLETE
27,27,1.0,2022-03-06 16:04:10.764666,2022-03-06 16:04:40.996667,0 days 00:00:30.232001,512,0.4,0.00016923507004008615,0.98,0.995,0.0001917929198749967,2.0,10,512,0.8456193767141511,PRUNED
28,28,2.6666666666666665,2022-03-06 16:04:40.997667,2022-03-06 16:05:53.554557,0 days 00:01:12.556890,512,0.2,0.0003188553126663709,1.0,0.995,0.0005785399742118652,1.0,20,512,0.45831298796239484,COMPLETE
29,29,-8.0,2022-03-06 16:05:53.554557,2022-03-06 16:06:21.682116,0 days 00:00:28.127559,512,0.1,0.0004438245159421073,1.0,0.995,0.0004202375318669454,0.9,5,512,0.6236924532235752,PRUNED
30,30,3.0,2022-03-06 16:06:21.682116,2022-03-06 16:07:01.964596,0 days 00:00:40.282480,32,0.4,0.00016192676210528172,0.9,0.95,0.0009848382122536264,0.7,5,512,0.5590704429967338,PRUNED
31,31,18.0,2022-03-06 16:07:01.965583,2022-03-06 16:08:27.414430,0 days 00:01:25.448847,64,0.4,0.0002329670536702607,1.0,0.999,0.00022482965876627434,0.7,10,64,0.3016963234881387,COMPLETE
32,32,6.333333333333333,2022-03-06 16:08:27.414430,2022-03-06 16:09:10.241166,0 days 00:00:42.826736,64,0.4,0.00023729384499034377,1.0,0.999,0.000191371976243962,0.7,10,64,0.3340115561285624,PRUNED
33,33,23.0,2022-03-06 16:09:10.241166,2022-03-06 16:10:36.162996,0 days 00:01:25.921830,64,0.4,0.00012591867363878672,1.0,0.999,0.00025116496182968915,0.7,10,64,0.2846445609227317,COMPLETE
34,34,10.666666666666666,2022-03-06 16:10:37.313705,2022-03-06 16:12:03.538091,0 days 00:01:26.224386,64,0.4,0.00013552451135005302,1.0,0.999,0.0002459604549412214,0.7,10,64,0.5466724605576266,COMPLETE
35,35,0.3333333333333333,2022-03-06 16:12:03.538091,2022-03-06 16:12:46.112057,0 days 00:00:42.573966,64,0.1,0.00012813015108938288,1.0,0.999,0.0002453660503846801,0.7,10,64,0.2700284600468471,PRUNED
36,36,-3.0,2022-03-06 16:12:46.112057,2022-03-06 16:13:28.660019,0 days 00:00:42.547962,64,0.4,0.0002372880354920922,1.0,0.999,0.00011969669311780416,1.0,10,64,0.2999111566016765,PRUNED
37,37,8.333333333333334,2022-03-06 16:13:28.660019,2022-03-06 16:14:37.323414,0 days 00:01:08.663395,64,0.4,0.00012784953420131974,0.95,0.999,8.865668789295122e-05,0.3,5,64,0.5497199363455689,COMPLETE
38,38,6.666666666666667,2022-03-06 16:14:37.323414,2022-03-06 16:15:20.614833,0 days 00:00:43.291419,64,0.2,0.00012412280543101634,0.9,0.999,0.0002616834376992438,2.0,10,64,0.6581322407259153,PRUNED
39,39,5.0,2022-03-06 16:15:20.614833,2022-03-06 16:16:53.491477,0 days 00:01:32.876644,32,0.1,0.00019019194244912214,1.0,0.9999,0.00038827573547489994,0.5,20,256,0.3638823084666144,PRUNED
40,40,1.3333333333333333,2022-03-06 16:16:53.491477,2022-03-06 16:17:40.436721,0 days 00:00:46.945244,64,0.4,0.0005952040821753053,1.0,0.95,0.0007539813341881872,0.7,10,128,0.4342615635227132,PRUNED
41,41,6.666666666666667,2022-03-06 16:17:40.436721,2022-03-06 16:18:24.732285,0 days 00:00:44.295564,64,0.4,0.00040264614224360914,0.8,0.99,0.00020466788683753804,0.9,10,64,0.4932417573058757,PRUNED
42,42,7.333333333333333,2022-03-06 16:18:24.732285,2022-03-06 16:19:13.844015,0 days 00:00:49.111730,64,0.4,0.0002381655374798968,1.0,0.999,0.0004264513473142961,0.7,10,64,0.508391297083948,PRUNED
43,43,7.0,2022-03-06 16:19:13.844015,2022-03-06 16:20:04.050201,0 days 00:00:50.206186,64,0.4,0.00012800497315196667,1.0,0.999,0.00023572198745195038,0.7,10,64,0.2899388131253543,PRUNED
44,44,-2.3333333333333335,2022-03-06 16:20:05.308202,2022-03-06 16:20:53.495201,0 days 00:00:48.186999,64,0.4,0.00015404557590919076,0.95,0.999,0.00015569326604874208,0.7,10,64,0.5224466506042987,PRUNED
45,45,,2022-03-06 16:20:53.496202,,,32,0.4,0.00020187875640888614,0.98,0.999,0.00011131205159583251,0.7,10,64,0.3784092743008375,RUNNING
46,46,7.666666666666667,2022-03-06 16:22:12.476054,2022-03-06 16:23:12.733617,0 days 00:01:00.257563,32,0.4,0.0002737917289424794,0.98,0.999,0.000325150317465018,0.7,10,64,0.5891123964436288,PRUNED
47,47,4.0,2022-03-06 16:23:12.734616,2022-03-06 16:24:17.672494,0 days 00:01:04.937878,64,0.2,0.0001868570515045406,1.0,0.9999,0.00011031464621436666,0.3,20,256,0.35509963233884784,PRUNED
48,48,7.333333333333333,2022-03-06 16:24:17.672494,2022-03-06 16:25:02.457927,0 days 00:00:44.785433,64,0.4,0.0001011806976713019,1.0,0.999,0.0007422930340778752,0.7,10,1024,0.24195717230678992,PRUNED
49,49,-3.3333333333333335,2022-03-06 16:25:02.457927,2022-03-06 16:25:38.400429,0 days 00:00:35.942502,64,0.4,0.0011083091957413273,1.0,0.95,0.00013132850639110353,2.0,5,128,0.7140583177008959,PRUNED
50,50,3.0,2022-03-06 16:25:38.400429,2022-03-06 16:26:22.622980,0 days 00:00:44.222551,64,0.1,0.00014066326927388527,0.8,0.99,5.662054822483628e-05,1.0,10,64,0.44139892025233274,PRUNED
51,51,-0.3333333333333333,2022-03-06 16:26:22.622980,2022-03-06 16:27:15.680549,0 days 00:00:53.057569,32,0.4,0.0001918668759911075,0.9,0.999,0.0003758878675810759,0.7,10,2048,0.4031712447926216,PRUNED
52,52,3.0,2022-03-06 16:27:15.680549,2022-03-06 16:27:56.422548,0 days 00:00:40.741999,512,0.4,0.0005149241567387381,1.0,0.999,0.0002743138098033221,0.5,10,64,0.08061636938750205,PRUNED
53,53,18.0,2022-03-06 16:27:56.422548,2022-03-06 16:28:54.182784,0 days 00:00:57.760236,512,0.4,0.0002826429716135438,0.95,0.995,0.0005585590103686466,0.7,10,512,0.41164422992719063,COMPLETE
54,54,-2.3333333333333335,2022-03-06 16:28:54.182784,2022-03-06 16:29:24.309182,0 days 00:00:30.126398,512,0.4,0.0002757555670004809,0.95,0.995,0.0005093135548433198,0.7,10,512,0.38675419172602865,PRUNED
55,55,6.666666666666667,2022-03-06 16:29:24.309182,2022-03-06 16:29:52.488101,0 days 00:00:28.178919,512,0.4,0.0003614920469846853,0.95,0.995,0.0006692315689920909,0.7,10,512,0.19957962712759456,PRUNED
56,56,11.333333333333334,2022-03-06 16:29:54.005035,2022-03-06 16:31:00.689448,0 days 00:01:06.684413,256,0.4,0.00025546235719829614,0.95,0.9,0.00046579563185177416,0.7,10,1024,0.47910471950734157,COMPLETE
57,57,5.333333333333333,2022-03-06 16:31:00.705071,2022-03-06 16:31:34.409845,0 days 00:00:33.704774,256,0.4,0.00026611881635116633,0.95,0.9,0.00020890023069598544,0.7,10,1024,0.617305053706625,PRUNED
58,58,6.333333333333333,2022-03-06 16:31:34.409845,2022-03-06 16:32:15.458668,0 days 00:00:41.048823,256,0.2,0.0007755841606514052,0.95,0.9,0.00047789353581693836,0.9,20,1024,0.46400546145945,PRUNED
59,59,5.333333333333333,2022-03-06 16:32:15.458668,2022-03-06 16:32:48.712384,0 days 00:00:33.253716,256,0.4,0.0001987009945457273,0.95,0.9,0.0006825458426502887,0.7,10,1024,0.3170929195726357,PRUNED
60,60,2.3333333333333335,2022-03-06 16:32:48.712384,2022-03-06 16:33:14.492582,0 days 00:00:25.780198,256,0.3,0.0013863682935467737,0.95,0.9,0.00016801606818234483,0.7,1,1024,0.5324777107358607,PRUNED
61,61,-0.3333333333333333,2022-03-06 16:33:14.492582,2022-03-06 16:33:47.912765,0 days 00:00:33.420183,128,0.4,0.0037871489660073047,0.92,0.9999,0.00029299764655260825,0.3,10,2048,0.4736606124122085,PRUNED
62,62,8.0,2022-03-06 16:33:47.912765,2022-03-06 16:34:19.613034,0 days 00:00:31.700269,256,0.4,0.0001151150394324051,0.98,0.99,0.0003354550364574395,0.7,10,256,0.8530547003736195,PRUNED
63,63,-1.3333333333333333,2022-03-06 16:34:19.613034,2022-03-06 16:34:49.119110,0 days 00:00:29.506076,512,0.4,0.00016603879562868183,1.0,0.995,0.0004837757634779345,0.7,10,512,0.41431040041969447,PRUNED
64,64,-1.0,2022-03-06 16:34:49.119110,2022-03-06 16:35:19.370048,0 days 00:00:30.250938,512,0.4,0.0002180070703345643,1.0,0.995,0.0006121886424382998,0.7,10,512,0.3712977504864109,PRUNED
65,65,11.333333333333334,2022-03-06 16:35:19.370048,2022-03-06 16:36:21.504096,0 days 00:01:02.134048,512,0.4,0.00036652592579228315,0.95,0.995,0.0008780557583333732,0.7,10,512,0.49345828433069683,COMPLETE
66,66,-16290.0,2022-03-06 16:36:23.050971,2022-03-06 16:38:55.049509,0 days 00:02:31.998538,512,0.4,0.00028459011234601014,0.95,0.9,0.0009035612555659508,0.7,10,64,0.5925808039423501,PRUNED
67,67,22.333333333333332,2022-03-06 16:38:55.049509,2022-03-06 16:39:57.654870,0 days 00:01:02.605361,512,0.4,0.0003580524399153487,0.95,0.995,0.0008549589569053936,5.0,10,512,0.3430983554148593,COMPLETE
68,68,2.6666666666666665,2022-03-06 16:39:57.654870,2022-03-06 16:40:27.800763,0 days 00:00:30.145893,512,0.4,0.00038142236439580777,0.95,0.995,0.0008713833236465036,5.0,10,512,0.2531498187348413,PRUNED
