,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
26,26,-2.0,2022-03-05 15:06:55.293686,2022-03-05 15:07:27.297154,0 days 00:00:32.003468,,512,0.4,0.004427933811291996,0.8,0.9999,0.00013896062998743102,0.5,5,2048,,0.34353692726836454,PRUNED
27,27,7.0,2022-03-05 15:12:50.664109,2022-03-05 15:13:21.191416,0 days 00:00:30.527307,,512,0.3,0.007164496556664123,0.95,0.999,5.9178639439402796e-05,2.0,1,512,,0.9896762877902308,PRUNED
28,28,-2.0,2022-03-05 15:13:21.191416,2022-03-05 15:14:55.259339,0 days 00:01:34.067923,,32,0.2,0.003173007003546491,0.98,0.99,1.3953538118719814e-05,0.9,20,1024,,0.49571636399305236,PRUNED
29,29,-4.0,2022-03-05 15:14:55.259339,2022-03-05 15:15:28.182524,0 days 00:00:32.923185,,256,0.4,0.009984218401814198,0.9,0.995,2.7621981167696452e-05,5.0,5,512,,0.8772547336668675,PRUNED
30,30,-3.3333333333333335,2022-03-05 15:15:28.182524,2022-03-05 15:16:17.045345,0 days 00:00:48.862821,,64,0.1,0.0013245594665939394,0.92,0.999,2.1016743776077454e-05,0.3,10,128,,0.07972603118613963,PRUNED
31,31,3.6666666666666665,2022-03-05 15:16:17.045345,2022-03-05 15:16:53.343432,0 days 00:00:36.298087,,256,0.2,0.004741743024549404,1.0,0.99,8.685066655917504e-05,0.9,10,1024,,0.688675502698924,PRUNED
32,32,1.3333333333333333,2022-03-05 15:16:53.343432,2022-03-05 15:17:29.986536,0 days 00:00:36.643104,,256,0.2,0.004363444122714756,1.0,0.99,0.00011210155809807968,0.9,10,1024,,0.7248470325125256,PRUNED
33,33,4.666666666666667,2022-03-05 15:17:29.986536,2022-03-05 15:18:05.880632,0 days 00:00:35.894096,,256,0.2,0.007604481494104319,1.0,0.99,6.851645602276125e-05,0.9,10,1024,,0.6019797436392833,PRUNED
34,34,-0.3333333333333333,2022-03-05 15:18:05.880632,2022-03-05 15:19:20.196878,0 days 00:01:14.316246,,256,0.2,0.000554617644583019,0.98,0.99,0.00032906085130557546,0.9,10,1024,,0.2814237306850028,COMPLETE
35,35,6.333333333333333,2022-03-05 15:19:20.196878,2022-03-05 15:20:11.902502,0 days 00:00:51.705624,,512,0.2,0.005261588965310777,1.0,0.9999,3.905964620110693e-05,0.7,20,128,,0.5000199474711782,PRUNED
36,36,11.333333333333334,2022-03-05 15:20:11.902502,2022-03-05 15:21:30.530997,0 days 00:01:18.628495,,256,0.2,0.0008126485560092345,0.99,0.999,2.5274988389033615e-05,0.3,5,64,,0.9303764837204974,COMPLETE
37,37,3.0,2022-03-05 15:35:34.023174,2022-03-05 15:36:16.587841,0 days 00:00:42.564667,,128,0.2,0.0005061831917778822,0.99,0.999,1.994778162272178e-05,1.0,5,64,,0.920001714716462,PRUNED
38,38,3.0,2022-03-05 15:36:16.588840,2022-03-05 15:36:57.297304,0 days 00:00:40.708464,,512,0.3,0.00045073844071891216,0.99,0.999,2.7412725259482703e-05,0.3,5,64,,0.9788487584912912,PRUNED
39,39,7.333333333333333,2022-03-05 15:36:57.298304,2022-03-05 15:37:45.820346,0 days 00:00:48.522042,,32,0.1,0.0008672967851299183,0.99,0.999,1.2750691359639383e-05,0.3,5,64,,0.8886142536723411,PRUNED
40,40,6.666666666666667,2022-03-05 15:37:45.820346,2022-03-05 15:38:25.254491,0 days 00:00:39.434145,,512,0.4,0.0007587461390709733,0.8,0.999,3.288984940793391e-05,0.3,5,64,,0.8162735156092473,PRUNED
41,41,8.0,2022-03-05 15:38:25.254491,2022-03-05 15:39:17.561507,0 days 00:00:52.307016,,256,0.2,0.00036770508681032327,0.99,0.999,7.842974691371686e-05,0.5,20,128,,0.8374187993479121,PRUNED
