#{"t_start": 1646347213.7321186, "env_id": "wordle-v0"}
r,l,t
14,6,0.043399
-2,6,0.048442
-8,7,0.079694
14,7,0.095319
25,1,0.110943
31,6,0.126569
42,4,0.142196
3,8,0.157819
2,8,0.189069
-1,6,0.204693
21,8,0.235944
-4,6,0.251569
14,6,0.267194
3,6,0.314071
2,7,0.345319
6,6,0.360945
22,8,0.376569
6,6,0.407819
1,8,0.423444
27,2,0.423444
25,1,0.423444
3,6,0.454694
25,1,0.454694
29,2,0.470319
0,6,0.485942
29,5,0.501569
10,6,0.517192
-1,7,0.532818
19,7,0.564068
40,6,0.579692
-3,6,0.595318
3,6,0.610944
2,9,0.642193
9,6,0.657818
49,6,0.673442
21,7,0.68907
12,6,0.704693
15,7,0.720318
0,7,0.751569
47,9,0.767191
-6,9,0.798442
-5,6,0.814067
31,3,0.829694
29,3,1.829695
-5,7,1.860943
-7,8,1.892195
-6,6,1.923443
-4,9,1.939068
47,6,1.954693
33,5,1.970318
10,8,2.001567
-1,8,2.017193
-7,6,2.032819
25,1,2.032819
7,6,2.064069
3,6,2.079694
34,4,2.079694
5,6,2.095319
38,4,2.110943
7,7,2.142197
0,7,2.15782
41,7,2.173442
-2,6,2.189068
3,8,2.220318
47,6,2.235944
5,6,2.251568
-5,6,2.267193
31,2,2.267193
-2,7,2.298442
6,7,2.314069
25,2,2.314069
2,8,2.345317
26,7,2.360943
16,7,2.376569
51,5,2.392194
4,6,2.407818
9,6,2.423443
-1,6,2.439067
-7,6,2.470318
29,9,2.485942
-2,6,2.501568
2,7,2.517193
4,6,2.548443
9,8,2.564067
30,6,3.329694
7,6,3.345319
7,8,3.376569
7,6,3.392194
-8,9,3.439068
6,6,3.470319
4,7,3.501569
37,7,3.532819
23,6,3.548444
-5,10,3.579694
46,5,3.610945
-3,6,3.642193
-1,6,3.657818
38,5,3.673445
0,7,3.704693
-2,7,3.735944
-6,9,3.767196
11,8,3.798444
0,6,3.829695
7,7,3.860944
24,7,3.87657
28,3,3.892194
16,7,3.923444
-2,6,3.939069
25,1,3.939069
-5,7,3.970319
8,6,3.985945
29,4,4.001568
4,6,4.032818
5,6,4.048444
25,1,4.048444
25,1,4.048444
5,7,4.079695
-3,6,4.095319
0,9,4.12657
21,7,4.142195
32,2,4.157821
8,7,4.173444
10,6,4.18907
24,4,4.204693
25,2,4.204693
41,7,4.235944
7,8,4.267195
-10,7,5.170365
-2,9,5.201613
25,1,5.201613
25,1,5.201613
21,7,5.232863
-6,8,5.248488
-7,6,5.279737
2,8,5.295364
25,1,5.295364
8,6,5.310989
11,7,5.342236
15,6,5.373489
25,1,5.389113
51,5,5.404737
38,7,5.435988
-4,7,5.467238
1,6,5.498487
6,6,5.514113
0,8,5.529737
31,3,5.545363
6,7,5.560987
1,6,5.576612
-12,9,5.607863
10,8,5.623488
17,7,5.654737
-3,6,5.670362
16,7,5.685987
41,5,5.701614
9,7,5.717237
1,6,5.748488
-1,7,5.764111
2,6,5.779737
-5,6,5.795362
-3,7,5.810987
25,1,5.826611
0,6,5.842237
-6,9,5.857862
36,3,5.873488
16,7,5.889113
25,1,5.889113
0,8,5.951614
3,6,5.967239
-3,7,5.998488
46,5,6.029739
9,6,6.857864
7,6,6.889113
-6,7,6.920363
5,6,6.935988
1,6,6.951614
34,5,6.967237
10,6,6.998487
17,6,7.014113
4,8,7.045362
6,6,7.060988
37,5,7.076614
54,6,7.092237
8,6,7.107862
8,8,7.139115
41,5,7.154737
13,7,7.170363
50,9,7.201613
-2,6,7.217237
41,5,7.232863
-3,7,7.248488
44,6,7.279738
-7,8,7.295364
3,7,7.310988
39,7,7.342238
34,5,7.357863
6,6,7.373489
5,8,7.389112
3,6,7.404739
1,6,7.420363
41,4,7.435988
1,7,7.467238
2,6,7.498488
8,7,7.529739
6,6,7.545364
3,7,7.560988
25,1,7.576614
9,6,7.592238
2,7,7.607863
25,2,7.607863
2,6,7.639114
-1,8,7.670363
-7,6,7.685989
17,7,8.529737
1,7,8.560988
-3,6,8.576614
7,7,8.592237
-4,7,8.623489
36,6,8.639114
30,5,8.654739
12,7,8.685988
6,7,8.701613
25,1,8.701613
-1,6,8.732862
50,6,8.748488
2,7,8.764114
3,6,8.779738
34,7,8.795363
-1,6,8.826613
-9,8,8.842238
39,7,8.857863
0,8,8.889113
25,2,8.889113
49,7,8.920363
10,7,8.935988
3,7,8.951611
7,6,8.982863
19,7,8.998488
27,2,8.998488
27,2,9.014113
2,6,9.029738
-2,6,9.045363
8,6,9.076612
31,3,9.076612
10,8,9.107863
1,6,9.123489
25,1,9.123489
27,2,9.123489
21,8,9.154738
58,5,9.170362
29,2,9.170362
5,6,9.185988
39,3,9.201613
-5,6,9.217239
22,6,9.232863
15,6,9.248487
-8,6,9.279737
3,6,9.295363
-4,6,10.154305
42,5,10.169931
33,4,10.185557
7,6,10.201181
1,8,10.232431
2,8,10.248058
4,6,10.26368
21,6,10.279306
9,6,10.294932
22,6,10.326181
25,6,10.341806
25,1,10.341806
11,6,10.35743
-2,8,10.388684
-2,9,10.435559
33,3,10.451182
38,5,10.466807
39,4,10.482434
16,8,10.529308
3,8,10.560557
-4,8,10.591807
-1,8,10.638684
2,6,10.669934
2,6,10.701183
-1,6,10.716807
11,6,10.748056
27,2,10.763682
11,6,10.779307
20,7,10.810558
33,4,10.826182
44,4,10.841806
39,4,10.857431
25,1,10.873058
14,8,10.90431
-4,7,10.919932
-7,8,10.966808
-18,11,10.998057
1,6,11.029307
13,7,11.060557
-10,7,11.091808
5,8,11.123057
8,7,11.154308
7,6,12.121956
8,7,12.153205
17,7,12.184453
13,9,12.23133
27,2,12.23133
4,6,12.246955
-7,8,12.278206
3,8,12.309454
1,6,12.325078
6,6,12.356405
9,6,12.371953
42,4,12.371953
0,6,12.403201
17,6,12.418828
4,9,12.45008
31,2,12.465703
3,9,12.481328
-3,6,12.496954
36,3,12.512579
12,7,12.528204
40,3,12.543829
38,3,12.559455
-7,10,12.590702
9,6,12.621953
-7,6,12.665799
4,7,12.694797
18,6,12.707882
-8,7,12.739139
3,6,12.801636
5,8,12.879761
9,6,12.926638
0,7,12.973513
16,7,13.004761
6,7,13.051636
9,6,13.114136
9,7,13.129761
25,1,13.145386
8,9,13.192261
-8,7,13.207886
-1,9,13.254764
-1,7,13.286011
-2,6,15.223601
34,3,15.239225
10,8,15.270474
-3,6,15.286101
2,7,15.301726
17,7,15.332976
-5,7,15.364225
-8,7,15.395475
59,8,15.426725
25,1,15.426725
8,8,15.4736
39,5,15.489225
21,6,15.520476
32,3,15.520476
32,4,15.536101
4,7,15.582976
15,7,15.614224
-10,7,15.645475
-2,9,15.676724
-8,9,15.707975
44,6,15.739223
5,6,15.770477
-3,7,15.801725
-1,6,15.817351
7,7,15.848599
29,6,15.87985
10,7,15.895474
31,3,15.9111
25,1,15.926726
2,6,15.942351
32,2,15.957975
5,7,15.973598
4,6,16.004851
40,7,16.036101
4,6,16.067346
-3,9,16.098597
5,7,16.129849
19,6,16.161099
5,7,16.176726
9,10,16.223599
9,7,16.254848
0,10,17.207975
6,8,17.239223
50,5,17.254848
2,8,17.270473
4,7,17.301723
46,4,17.301723
19,6,17.332973
1,8,17.348598
10,7,17.364222
-1,7,17.395473
-1,7,17.411098
9,6,17.426722
-4,7,17.442348
32,3,17.457973
10,7,17.473599
