#{"t_start": 1646607295.5858188, "env_id": "WordleWord-v0"}
r,l,t
-11,6,10.241999
6,7,10.260998
5,6,10.275998
-7,6,10.292998
-2,6,10.307999
15,6,10.320998
5,6,10.337999
55,6,10.353998
9,6,10.366999
-2,6,10.379998
-2,6,10.393999
12,8,10.415998
18,6,10.433
-5,6,10.451
5,7,10.469999
14,6,10.485999
5,6,10.501999
7,6,10.51901
3,6,10.534998
2,6,10.550999
-7,6,10.568999
17,7,10.592999
4,6,10.609998
-4,6,10.625999
19,6,10.643998
-11,6,10.659999
2,7,10.678999
3,6,10.694999
0,6,10.713998
4,6,10.731999
3,6,10.748999
2,6,10.766998
35,2,10.772999
4,6,10.789999
-5,6,10.806998
-7,7,10.825998
2,6,10.842999
0,7,10.861999
4,6,10.878999
-5,6,10.894999
4,6,10.908998
-2,6,10.923999
10,6,10.936999
7,6,10.952
-1,7,10.971
41,5,10.985001
9,6,11.0
6,7,11.016999
0,6,11.031
11,6,11.047998
-5,7,11.066998
11,6,11.080998
0,6,11.096998
1,6,11.112999
-5,6,11.128999
-2,6,11.145998
9,6,11.162998
22,6,11.179998
5,6,11.195999
21,6,11.211999
12,6,11.228
-8,7,11.248
-2,6,11.266
2,6,11.281999
-9,6,11.298999
-3,7,11.319
1,7,11.341001
2,6,11.359
14,6,11.376999
11,6,11.396
8,6,11.416999
1,8,11.451
-6,7,11.478
9,6,11.496999
-2,6,11.517001
3,6,11.536
8,7,12.442999
7,6,12.459999
5,6,12.476998
-8,7,12.496998
8,6,12.514005
7,6,12.53
22,6,12.544999
12,6,12.559998
18,6,12.574999
13,6,12.587999
10,6,12.602999
-5,6,12.618999
12,6,12.633999
15,7,12.651
20,6,12.668
30,7,12.689
37,3,12.695998
11,6,12.708999
3,7,12.727998
5,6,12.744998
-1,7,12.763998
-4,6,12.778999
-2,7,12.796999
5,6,12.810998
27,3,12.817997
25,1,12.821998
8,6,12.838999
3,6,12.856998
0,6,12.873999
0,6,12.891999
3,6,12.911999
10,6,12.932
9,7,12.953
-2,6,12.970999
15,6,12.989
1,6,13.006999
40,5,13.022
27,4,13.033999
30,6,13.052
-2,6,13.069999
2,7,13.088999
0,6,13.106
-4,6,13.123999
-4,6,13.140999
23,6,13.157999
3,7,13.178999
9,6,13.196999
-2,6,13.211999
25,2,13.218
9,6,13.235001
-2,7,13.255
-2,6,13.273
5,6,13.29
25,7,13.311001
3,6,13.327001
10,7,13.348001
6,6,13.364998
-2,6,13.381999
3,6,13.397999
8,6,13.413998
0,6,13.428999
25,1,13.431999
-6,7,13.449998
10,7,13.465999
11,6,13.480998
33,7,13.497999
9,6,13.511999
4,6,13.527998
11,6,13.541999
4,6,13.557999
-5,6,13.574
7,6,13.589998
8,7,13.609999
8,7,13.633999
22,7,13.687999
14,6,13.708998
-4,6,13.726999
34,3,13.736003
-1,6,13.757999
25,2,13.766998
0,7,13.794999
-2,7,13.815998
9,6,13.833998
19,6,13.855999
12,7,13.878999
17,6,13.904998
12,6,14.815
6,6,14.834
4,7,14.856999
5,6,14.876999
0,6,14.896998
4,6,14.915998
-6,6,14.936
9,6,14.954998
25,1,14.957998
5,6,14.976999
-5,6,14.992999
2,7,15.013
-4,6,15.029
6,7,15.050999
-3,6,15.066999
-5,7,15.085999
1,6,15.102999
-1,6,15.120999
11,6,15.140001
9,6,15.158999
13,7,15.185999
46,5,15.200999
-3,7,15.236999
11,6,15.264999
8,6,15.288998
-13,6,15.314998
2,6,15.337999
-3,6,15.363998
-2,6,15.386998
5,7,15.418
-4,6,15.446
4,6,15.477999
7,6,15.498
3,8,15.524999
4,6,15.546
-3,6,15.567
8,6,15.593999
-9,6,15.613998
1,6,15.630998
5,6,15.648
-7,6,15.662999
34,2,15.667999
11,6,15.682998
5,7,15.701999
-7,6,15.719998
0,6,15.734999
38,7,15.754999
-3,7,15.773999
6,9,15.799998
8,8,15.818999
-1,6,15.834999
0,6,15.848998
0,6,15.865998
0,6,15.881998
53,7,15.898999
11,6,15.914999
0,7,15.937
43,7,15.959999
-3,7,15.976998
-1,6,15.993
-3,7,16.013999
42,6,16.032
-9,6,16.051
2,6,16.069999
13,6,16.088
17,6,16.106999
4,7,16.127
25,1,16.129999
7,7,16.148999
-5,6,16.171
1,6,16.192999
-7,6,16.216
27,2,16.222999
-9,6,16.240999
-3,6,16.262
3,6,16.286
3,6,16.305998
5,6,16.329
7,7,16.352999
5,6,16.368999
-7,6,16.384998
-2,8,16.407
-7,6,16.422999
34,2,16.428999
4,7,16.449
11,7,17.333999
12,7,17.354999
-8,7,17.373999
3,6,17.391998
-2,8,17.415
1,6,17.430999
40,7,17.449999
0,6,17.467999
18,6,17.487004
25,1,17.490004
-2,6,17.506
9,7,17.525
36,4,17.536
22,7,17.552998
33,3,17.564998
-2,6,17.587998
-7,7,17.614999
-5,6,17.632999
-2,7,17.653999
25,2,17.659999
0,6,17.677999
10,6,17.695999
3,6,17.712999
5,7,17.733
5,6,17.749999
14,6,17.767001
2,6,17.784999
12,8,17.808999
11,6,17.826999
37,5,17.840998
14,6,17.858
-3,8,17.882999
8,6,17.904
4,6,17.922
-3,6,17.939
10,7,17.963999
4,6,17.980999
0,6,17.997
13,6,18.013998
6,7,18.032999
-9,6,18.047998
12,6,18.063998
-10,6,18.079999
2,6,18.097998
12,6,18.113999
8,6,18.129
3,6,18.143999
5,6,18.159999
3,6,18.176999
0,7,18.196999
3,7,18.214999
6,6,18.232002
13,6,18.248001
0,6,18.263001
1,6,18.278001
5,7,18.296001
12,7,18.310999
-5,6,18.325998
-3,6,18.343
25,2,18.348998
4,6,18.365999
2,6,18.383
18,6,18.399998
4,7,18.424
-8,7,18.473
50,7,18.498
7,6,18.525
11,6,18.548
-6,7,18.603999
9,6,18.630998
-2,6,18.654012
-5,7,18.684001
22,6,18.712
3,6,18.733
2,7,18.757999
3,6,18.775998
1,7,18.795999
5,7,18.817999
6,6,18.836
15,6,18.854001
0,6,18.87
2,6,18.889
13,6,18.905998
1,7,19.811
36,4,19.821999
8,6,19.838998
19,6,19.854998
15,6,19.872998
-3,6,19.89
-4,6,19.906999
2,6,19.923999
5,7,19.947998
5,6,19.971998
11,6,19.994998
7,6,20.019999
-2,7,20.048999
3,6,20.072999
-2,6,20.099999
8,6,20.125999
19,6,20.15
36,3,20.159998
0,6,20.177998
-5,6,20.196998
34,3,20.208998
3,8,20.245998
1,6,20.292
10,6,20.318
12,6,20.338
-2,6,20.354998
6,6,20.371999
45,8,20.392998
9,6,20.409
-4,6,20.425998
-2,8,20.447998
17,6,20.464998
2,6,20.481998
17,6,20.499999
11,6,20.516
22,6,20.532999
6,6,20.54903
5,7,20.568999
6,6,20.584999
-9,6,20.601
-12,7,20.622
27,6,20.64
0,6,20.655998
3,6,20.672999
-3,6,20.687999
6,6,20.702998
47,5,20.717
10,6,20.731999
10,6,20.745999
37,3,20.753999
1,6,20.770999
1,6,20.791
22,6,20.816
19,6,20.840998
3,8,20.867999
3,7,20.891999
3,6,20.911999
8,7,20.937
38,4,20.950999
-4,6,20.969
1,6,20.986999
5,6,21.005
2,6,21.024999
-10,7,21.054999
10,8,21.081999
24,6,21.098999
7,6,21.118998
14,6,21.136
15,6,21.151999
-5,6,21.166999
29,6,21.182999
13,6,21.199999
-3,6,21.214999
1,6,21.231999
39,4,21.242998
0,8,21.264998
10,6,21.282
6,8,21.3
25,1,21.303
16,6,21.318999
6,9,21.339998
7,7,21.357998
-7,6,21.374
50,6,21.386998
0,6,21.401998
5,7,22.372998
1,6,22.394001
-5,7,22.420001
0,7,22.445999
4,6,22.468999
5,7,22.488998
-7,6,22.506999
29,2,22.512999
3,6,22.531012
13,7,22.551
7,6,22.57
1,7,22.600999
-5,6,22.627
3,6,22.656
8,8,22.688
55,6,22.710999
25,1,22.715008
9,6,22.737999
-3,6,22.755998
4,7,22.776001
4,6,22.793999
-13,8,22.815999
2,6,22.828998
-5,6,22.844999
-4,6,22.861999
34,6,22.878
-1,7,22.898999
-9,6,22.912
38,7,22.926999
16,6,22.943999
9,6,22.959
3,6,22.973999
27,2,22.979999
6,6,22.991999
2,6,23.008
6,6,23.025
9,7,23.044998
25,1,23.047999
-4,6,23.066
-1,6,23.079999
7,6,23.096
-3,7,23.114999
-4,6,23.135998
-7,8,23.171999
7,6,23.198999
