,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,808.0,2022-03-02 20:06:17.062896,2022-03-02 20:10:22.505050,0 days 00:04:05.442154,tanh,32,0.3,0.00011882149097098409,0.9,0.999,2.7145733107337123e-05,0.5,20,64,small,0.14663996995532158,COMPLETE
1,1,1203.6666666666667,2022-03-02 20:06:17.062896,2022-03-02 20:07:55.719336,0 days 00:01:38.656440,relu,32,0.3,0.0015743730316600817,0.98,0.999,0.00010653472187161594,5.0,1,128,medium,0.10932760477645964,COMPLETE
2,2,411.6666666666667,2022-03-02 20:06:17.062896,2022-03-02 20:08:30.050133,0 days 00:02:12.987237,relu,128,0.3,0.0035072987007160805,0.92,0.95,2.5972817909321625e-05,0.5,20,2048,small,0.8519352404617485,COMPLETE
3,3,408.3333333333333,2022-03-02 20:07:55.719336,2022-03-02 20:09:26.973462,0 days 00:01:31.254126,relu,512,0.1,0.0003881677308090695,0.8,0.99,0.000106077048612975,1.0,10,1024,small,0.7896035271030178,COMPLETE
4,4,802.3333333333334,2022-03-02 20:08:30.050133,2022-03-02 20:10:35.307957,0 days 00:02:05.257824,relu,128,0.4,0.005994448575845257,0.98,0.95,3.918573474875135e-05,0.5,10,128,medium,0.3699493523640972,COMPLETE
5,5,803.3333333333334,2022-03-02 20:09:26.973462,2022-03-02 20:10:49.656453,0 days 00:01:22.682991,tanh,128,0.1,0.009584848435923792,0.8,0.9,2.8481751199329544e-05,0.9,1,128,small,0.7882794082692136,COMPLETE
6,6,800.3333333333334,2022-03-02 20:10:22.505050,2022-03-02 20:11:22.280386,0 days 00:00:59.775336,tanh,256,0.2,0.004820771254684303,0.98,0.95,7.572449427990486e-05,2.0,20,2048,medium,0.38810701886377574,PRUNED
7,7,792.0,2022-03-02 20:10:35.307957,2022-03-02 20:12:09.286976,0 days 00:01:33.979019,tanh,32,0.2,0.0013987579123204074,0.98,0.999,0.0009808589897590961,5.0,1,512,medium,0.032187665436768154,COMPLETE
8,8,396.3333333333333,2022-03-02 20:10:49.656453,2022-03-02 20:12:04.514909,0 days 00:01:14.858456,relu,32,0.2,0.0011642704038166813,0.95,0.995,0.0006873293053552237,5.0,5,512,medium,0.011411129061923764,PRUNED
9,9,794.6666666666666,2022-03-02 20:11:22.280386,2022-03-02 20:12:05.296159,0 days 00:00:43.015773,relu,64,0.3,0.0011033277808885765,0.95,0.999,0.0005913088039941422,5.0,1,512,medium,0.008453730359015532,PRUNED
10,10,7.333333333333333,2022-03-02 20:12:04.514909,2022-03-02 20:12:51.482422,0 days 00:00:46.967513,relu,64,0.3,0.001069274204911698,0.99,0.999,0.0003802425545049549,5.0,1,256,medium,0.16702955001111222,PRUNED
11,11,1205.3333333333333,2022-03-02 20:12:05.296159,2022-03-02 20:13:44.622537,0 days 00:01:39.326378,relu,32,0.4,0.00032413184006199947,1.0,0.9999,0.00025133781990260986,0.7,1,256,medium,0.5609501556493657,COMPLETE
12,12,1207.6666666666667,2022-03-02 20:12:09.286976,2022-03-02 20:13:48.763162,0 days 00:01:39.476186,relu,256,0.4,0.00037755394964651717,0.99,0.9999,0.00022080291945422272,0.7,5,256,medium,0.5649898183170281,COMPLETE
13,13,801.6666666666666,2022-03-02 20:12:51.482422,2022-03-02 20:14:54.105065,0 days 00:02:02.622643,tanh,32,0.3,0.00012351598975554154,0.9,0.9999,1.0739447544329258e-05,0.7,20,64,small,0.23304072575878199,PRUNED
14,14,-4.0,2022-03-02 20:13:44.622537,2022-03-02 20:14:33.184869,0 days 00:00:48.562332,relu,32,0.4,0.0003438492883834569,1.0,0.9999,0.00020561723220217319,0.7,1,256,medium,0.6037769362616456,PRUNED
15,15,388.3333333333333,2022-03-02 20:13:48.778792,2022-03-02 20:15:26.907009,0 days 00:01:38.128217,relu,256,0.4,0.0003417325008503837,1.0,0.9999,0.0002623950996582588,0.7,5,256,medium,0.6320959105094036,COMPLETE
16,16,399.0,2022-03-02 20:14:33.200494,2022-03-02 20:15:21.665929,0 days 00:00:48.465435,relu,256,0.4,0.00032936306389305106,1.0,0.9999,0.00024555985554099776,0.7,5,256,medium,0.5896297093404209,PRUNED
17,17,404.0,2022-03-02 20:14:54.105065,2022-03-02 20:15:43.148072,0 days 00:00:49.043007,relu,256,0.4,0.0003970836006474628,1.0,0.9999,0.0002504302094601437,0.3,5,256,medium,0.6059416539758593,PRUNED
18,18,410.0,2022-03-02 20:15:21.665929,2022-03-02 20:15:59.597464,0 days 00:00:37.931535,relu,256,0.4,0.0006117085667923051,0.99,0.9999,0.00019858541707948996,0.3,5,256,medium,0.6736756762540224,PRUNED
19,19,402.6666666666667,2022-03-02 20:15:26.907009,2022-03-02 20:16:01.738091,0 days 00:00:34.831082,relu,512,0.4,0.0005736250195501902,0.99,0.9999,0.0001873576747046935,0.3,5,256,medium,0.9736008092791506,PRUNED
20,20,804.6666666666666,2022-03-02 20:43:36.777933,2022-03-02 20:44:28.863066,0 days 00:00:52.085133,relu,512,0.4,0.00014335299052948094,0.92,0.99,6.413417619181975e-05,0.7,10,1024,medium,0.46613480853633243,PRUNED
21,21,797.3333333333334,2022-03-02 20:43:36.777933,2022-03-02 20:44:28.784941,0 days 00:00:52.007008,relu,512,0.4,0.00014225868222853254,0.92,0.99,0.0003966982266633887,0.7,10,1024,medium,0.4443694235867647,PRUNED
22,22,1208.0,2022-03-02 20:43:36.777933,2022-03-02 20:45:23.597554,0 days 00:01:46.819621,relu,512,0.4,0.0002001799469492193,0.92,0.9,0.0004348043314534702,0.7,10,1024,medium,0.442375745510963,COMPLETE
23,23,400.6666666666667,2022-03-02 20:44:28.784941,2022-03-02 20:45:18.200226,0 days 00:00:49.415285,relu,32,0.1,0.002125057360097938,0.98,0.9,9.642266861656442e-05,1.0,1,128,medium,0.48390628220602677,PRUNED
24,24,-4.333333333333333,2022-03-02 20:44:28.863066,2022-03-02 20:46:07.442000,0 days 00:01:38.578934,relu,32,0.1,0.0017304598263233385,0.99,0.995,0.0001240778452228951,1.0,1,128,medium,0.30837984871290236,COMPLETE
25,25,804.3333333333334,2022-03-02 20:45:18.200226,2022-03-02 20:46:06.877961,0 days 00:00:48.677735,relu,32,0.3,0.00021030996230375843,0.99,0.995,0.00015440387766428273,2.0,1,128,medium,0.29202004817245736,PRUNED
26,26,1205.0,2022-03-02 20:45:23.597554,2022-03-02 20:47:05.100769,0 days 00:01:41.503215,relu,512,0.4,0.00021393248161528654,0.92,0.9,0.0004997236274449436,0.7,10,1024,medium,0.2934561090382043,COMPLETE
27,27,811.6666666666666,2022-03-02 20:46:06.878973,2022-03-02 20:47:49.156010,0 days 00:01:42.277037,relu,512,0.4,0.00019881977483492765,0.92,0.9,0.00041929224463360426,0.7,10,1024,medium,0.5359416797501669,COMPLETE
28,28,1.3333333333333333,2022-03-02 20:46:07.442000,2022-03-02 20:46:55.724604,0 days 00:00:48.282604,tanh,512,0.4,0.00020922792942508812,0.92,0.9,0.0003915016680624197,0.7,10,1024,medium,0.5442010130283346,PRUNED
29,29,2.6666666666666665,2022-03-02 20:46:55.724604,2022-03-02 20:49:05.834625,0 days 00:02:10.110021,relu,64,0.4,0.0006246305428002669,0.92,0.9,0.0005766103021849891,0.9,10,1024,small,0.6780355810496101,COMPLETE
30,30,805.0,2022-03-02 20:47:05.100769,2022-03-02 20:47:57.482374,0 days 00:00:52.381605,relu,64,0.4,0.0006673260774252896,1.0,0.9,0.0008763887830146267,0.9,5,256,small,0.707967780922709,PRUNED
31,31,805.3333333333334,2022-03-02 20:47:49.156010,2022-03-02 20:49:35.425444,0 days 00:01:46.269434,tanh,64,0.4,0.0006856328747854995,0.9,0.9999,0.0009908651961903292,0.9,5,64,small,0.7132057579235592,COMPLETE
32,32,807.6666666666666,2022-03-02 20:47:57.482374,2022-03-02 20:49:21.824463,0 days 00:01:24.342089,tanh,256,0.4,0.0007542367395137469,0.9,0.9999,0.0003236343152383195,0.7,20,64,small,0.37813031456234236,PRUNED
33,33,799.6666666666666,2022-03-02 20:49:05.850198,2022-03-02 20:50:28.598172,0 days 00:01:22.747974,relu,512,0.4,0.00010254190117464052,0.9,0.9,0.0003149453924786022,0.7,10,64,medium,0.39086103865705074,PRUNED
34,34,1208.0,2022-03-02 20:49:21.824463,2022-03-02 20:51:09.098673,0 days 00:01:47.274210,relu,512,0.4,0.00010216872709890864,0.92,0.9,0.0005628296766536491,0.7,10,1024,medium,0.4162151010144586,COMPLETE
35,35,801.0,2022-03-02 20:49:35.425444,2022-03-02 20:51:23.136755,0 days 00:01:47.711311,relu,512,0.4,0.00010181182839000854,0.92,0.9,0.0005504891207428346,0.7,10,1024,medium,0.25767185069712917,COMPLETE
36,36,404.6666666666667,2022-03-02 20:50:28.599245,2022-03-02 20:52:21.670123,0 days 00:01:53.070878,relu,512,0.4,0.000244420988625706,0.92,0.9,0.0005152895320542581,0.7,10,1024,medium,0.28634055771978034,COMPLETE
37,37,808.0,2022-03-02 20:51:09.098673,2022-03-02 20:52:01.087084,0 days 00:00:51.988411,relu,512,0.2,0.0002687023440795397,0.92,0.95,0.0007176127960304105,0.5,10,2048,medium,0.5100145030617166,PRUNED
38,38,397.0,2022-03-02 20:51:23.136755,2022-03-02 20:52:26.164507,0 days 00:01:03.027752,relu,128,0.2,0.00015853827744587577,0.8,0.95,0.000724631076828911,0.5,10,2048,medium,0.5333705975356746,PRUNED
39,39,399.3333333333333,2022-03-02 20:52:01.087084,2022-03-02 20:53:07.624037,0 days 00:01:06.536953,relu,128,0.1,0.00046289526947105816,0.95,0.99,0.00015344153170723047,2.0,10,1024,medium,0.43344615625210525,PRUNED
40,40,808.6666666666666,2022-03-02 20:52:21.670123,2022-03-02 20:53:42.863672,0 days 00:01:21.193549,relu,128,0.1,0.00047229745631675456,0.95,0.99,0.00013859258508078752,2.0,20,2048,medium,0.43290868248188685,PRUNED
41,41,804.3333333333334,2022-03-02 20:52:26.164507,2022-03-02 20:53:57.071276,0 days 00:01:30.906769,relu,128,0.1,0.00047865213750111627,0.95,0.99,0.00014036637819832422,2.0,20,256,medium,0.4364473226659935,PRUNED
42,42,402.6666666666667,2022-03-02 20:53:07.624037,2022-03-02 20:55:38.833053,0 days 00:02:31.209016,relu,256,0.4,0.00016371613743266014,0.8,0.9999,0.0003052567140447977,0.7,20,256,medium,0.7546717987836983,COMPLETE
43,43,401.0,2022-03-02 20:53:42.863672,2022-03-02 20:54:36.585055,0 days 00:00:53.721383,relu,512,0.4,0.00018052248116345778,0.92,0.9,0.00047146552565199254,0.7,10,1024,medium,0.18698909212025466,PRUNED
44,44,408.6666666666667,2022-03-02 20:53:57.071276,2022-03-02 20:55:53.219199,0 days 00:01:56.147923,relu,512,0.4,0.0001673486473229059,0.92,0.9,0.00047085643349044554,0.7,10,1024,medium,0.33394194853256637,COMPLETE
45,45,409.0,2022-03-02 20:54:36.585055,2022-03-02 20:56:35.548423,0 days 00:01:58.963368,relu,512,0.4,0.0002733601442609192,0.8,0.9,0.00029390149661091044,0.7,10,1024,medium,0.3481252596070228,COMPLETE
46,46,406.0,2022-03-02 20:55:38.833053,2022-03-02 20:56:37.720296,0 days 00:00:58.887243,relu,512,0.4,0.00024891357613315526,0.92,0.9,0.0007390987447749887,0.7,10,1024,medium,0.353797972112876,PRUNED
47,47,813.3333333333334,2022-03-02 20:55:53.219199,2022-03-02 20:56:44.442567,0 days 00:00:51.223368,tanh,512,0.4,0.00027951588491854473,0.99,0.999,0.0003247960257711147,0.7,1,512,medium,0.35574749617704327,PRUNED
48,48,804.6666666666666,2022-03-02 20:56:35.548423,2022-03-02 20:58:38.304168,0 days 00:02:02.755745,tanh,32,0.3,0.00011722917004653452,1.0,0.999,0.0007774060952281175,0.7,1,512,medium,0.10589076920985405,COMPLETE
49,49,406.3333333333333,2022-03-02 20:56:37.720296,2022-03-02 20:57:35.048673,0 days 00:00:57.328377,tanh,32,0.3,0.00012434361735798113,1.0,0.999,1.1808930799100581e-05,1.0,1,512,small,0.579656867210177,PRUNED
50,50,800.6666666666666,2022-03-02 20:56:44.442567,2022-03-02 20:58:39.851041,0 days 00:01:55.408474,relu,32,0.3,0.00012262022162637992,1.0,0.995,1.129241977302941e-05,5.0,1,512,small,0.09064278241167648,COMPLETE
51,51,410.0,2022-03-02 20:57:35.048673,2022-03-02 20:58:34.655371,0 days 00:00:59.606698,relu,256,0.2,0.0003381616258910383,0.98,0.995,0.0002422829702833875,0.7,5,256,medium,0.8706545610613088,PRUNED
52,52,398.6666666666667,2022-03-02 20:58:34.670994,2022-03-02 20:59:02.884998,0 days 00:00:28.214004,relu,32,0.4,0.00012215627765228793,1.0,0.9999,8.490951989209867e-05,5.0,1,1024,medium,0.09850148781368492,PRUNED
53,53,801.6666666666666,2022-03-02 21:00:08.195543,2022-03-02 21:01:09.256370,0 days 00:01:01.060827,relu,32,0.3,0.0025267029543029574,0.98,0.999,5.9584061265166264e-05,5.0,1,128,medium,0.19331082027138696,PRUNED
54,54,397.6666666666667,2022-03-02 21:00:08.211169,2022-03-02 21:01:08.568868,0 days 00:01:00.357699,relu,32,0.3,0.0028980413279575705,0.98,0.999,4.185325840756468e-05,5.0,1,128,medium,0.2117928158071929,PRUNED
55,55,806.3333333333334,2022-03-02 21:00:08.211169,2022-03-02 21:01:09.115744,0 days 00:01:00.904575,relu,32,0.3,0.0013287440184103177,0.98,0.999,6.933766817268494e-05,5.0,1,128,medium,0.20768723775266107,PRUNED
56,56,406.6666666666667,2022-03-02 21:01:08.568868,2022-03-02 21:02:10.739209,0 days 00:01:02.170341,relu,256,0.3,0.0009465238866780788,0.98,0.999,5.7206142957466564e-05,5.0,5,128,medium,0.6396896609209641,PRUNED
