#{"t_start": 1646345131.4036152, "env_id": "wordle-v0"}
r,l,t
1,7,0.031251
-10,7,0.062499
45,5,0.078125
6,6,0.093751
1,8,0.109375
-1,8,0.124997
31,3,0.140622
1,8,0.156247
3,6,0.171875
-7,6,0.203125
3,6,0.21875
25,1,0.21875
9,6,0.234376
6,6,0.249999
-2,7,0.265625
-1,10,0.296876
34,4,0.296876
27,2,0.312502
22,6,0.328125
25,1,0.328125
4,8,0.484376
5,8,0.515625
52,5,0.531252
-2,7,0.546875
-2,7,0.562501
3,7,0.59375
53,5,0.609375
17,6,0.625
33,3,0.640626
0,9,0.671875
6,6,0.6875
25,2,0.6875
25,1,0.6875
44,8,0.71875
38,3,0.71875
12,10,0.750001
9,7,0.78125
33,4,0.796875
4,8,0.812501
36,4,0.828126
3,7,0.843749
38,9,0.874999
50,7,0.890623
13,7,1.578124
31,4,1.578124
46,5,1.593749
3,9,1.624999
15,6,1.624999
39,6,1.640624
26,3,1.656248
6,8,1.671873
7,6,1.687498
44,6,1.703122
15,6,1.718747
5,6,1.734376
45,3,1.750001
46,7,1.765626
42,5,1.78125
29,4,1.78125
-4,6,1.796874
5,11,1.828126
7,8,1.843749
-1,9,1.875
15,7,1.890625
15,6,1.90625
46,6,1.921875
10,7,1.937499
3,7,1.96875
5,6,1.96875
14,7,1.999999
27,2,1.999999
11,7,2.015625
25,1,2.015625
0,6,2.046873
6,7,2.0625
-4,8,2.078125
4,7,2.093748
-7,7,2.109375
16,8,2.124997
2,6,2.140623
29,3,2.15625
47,5,2.171875
38,6,2.187499
25,1,2.187499
16,8,2.203123
-1,8,2.937498
-5,6,2.953122
11,13,2.984372
41,7,3.0
0,7,3.015624
8,6,3.031251
-2,7,3.066605
25,1,3.068604
27,3,3.073655
6,8,3.089283
3,11,3.120533
25,1,3.120533
-4,7,3.151783
2,8,3.167409
10,8,3.183034
45,2,3.198659
25,1,3.198659
-1,12,3.229909
-2,8,3.245533
34,5,3.261158
51,6,3.27678
14,7,3.308035
-9,8,3.323656
8,6,3.339281
29,5,3.354905
25,1,3.354905
48,6,3.370537
4,8,3.386158
-2,6,3.401785
25,2,3.417407
32,2,3.417407
41,4,3.433033
37,3,3.433033
38,3,3.448655
25,1,3.448655
5,8,3.464284
4,7,3.479908
4,8,3.511159
9,8,3.526784
-2,7,3.542408
52,6,3.558033
1,7,3.573657
38,5,3.589282
-1,9,4.370536
2,6,4.386159
-2,9,4.401784
4,8,4.433034
6,6,4.448658
34,3,4.448658
0,9,4.479909
25,1,4.479909
-5,6,4.495533
31,3,4.51116
33,4,4.51116
29,3,4.526783
35,6,4.542408
-6,6,4.558033
9,10,4.589282
9,6,4.60491
33,8,4.620534
21,9,4.651782
16,12,4.683033
6,7,4.698658
38,6,4.698658
-1,6,4.714283
9,7,4.729907
5,7,4.761158
32,4,4.761158
-2,10,4.792405
29,2,4.792405
42,6,4.808032
-4,7,4.823657
29,3,4.839283
15,13,4.870534
32,6,4.886157
13,7,4.901783
2,11,4.933032
25,1,4.933032
10,7,4.948657
25,1,4.948657
11,7,4.995533
-1,6,5.011158
27,6,5.026788
6,10,5.042408
8,9,5.729905
-1,7,5.745531
4,8,5.761157
40,4,5.776782
2,7,5.792407
46,7,5.808032
32,3,5.808032
-6,7,5.839281
14,6,5.854906
15,6,5.870531
7,6,5.886157
10,8,5.901781
37,5,5.917408
25,3,5.917408
17,7,5.933034
-2,6,5.948655
0,6,5.964283
25,1,5.964283
-4,8,5.979907
35,3,5.979907
47,3,5.995531
-2,8,6.011158
30,5,6.026781
29,5,6.026781
0,7,6.042408
13,7,6.058032
1,6,6.073657
41,8,6.089283
-5,6,6.104907
33,4,6.120532
0,7,6.136158
27,2,6.136158
3,8,6.167406
40,6,6.183033
27,3,6.183033
2,10,6.214282
13,8,6.229908
17,9,6.261157
-1,7,6.276782
41,4,6.276782
16,7,6.292407
51,6,6.308031
3,6,7.261157
25,1,7.261157
35,5,7.276784
2,7,7.292409
9,7,7.308033
48,10,7.339285
28,6,7.354908
57,6,7.370532
3,6,7.386157
4,8,7.40178
29,3,7.40178
41,7,7.417406
2,6,7.433031
4,8,7.448656
61,7,7.464282
10,8,7.495532
27,3,7.495532
40,7,7.511158
11,11,7.542406
0,7,7.558033
-2,7,7.589281
0,6,7.604909
-2,7,7.620533
0,9,7.651784
29,2,7.651784
25,6,7.667408
-4,8,7.698657
25,1,7.698657
36,5,7.714282
8,7,7.729908
1,8,7.745533
30,4,7.761159
7,6,7.776785
6,7,7.792408
6,6,7.808033
32,2,7.823659
25,2,7.823659
3,6,7.839284
45,6,7.854909
11,11,7.886158
29,3,7.901783
51,5,7.901783
15,8,8.65972
54,11,8.690965
29,6,8.70659
10,7,8.722214
24,3,8.722214
14,6,8.737839
-3,8,8.76909
3,10,8.784715
1,7,8.800338
43,5,8.815963
27,2,8.815963
4,7,8.831589
-6,13,8.862838
14,9,8.894089
14,8,8.909714
47,11,8.940964
9,8,8.956591
-2,10,8.98784
31,3,8.98784
-8,7,9.003465
8,6,9.01909
12,7,9.034714
5,8,9.050368
21,10,9.08159
50,8,9.097214
12,6,9.112839
34,7,9.128467
62,6,9.159719
35,5,9.175343
14,10,9.190967
65,6,9.206591
58,12,9.253467
15,8,9.269091
-3,12,9.315968
52,6,10.315968
39,5,10.331591
1,13,10.362843
-5,8,10.394092
8,7,10.409715
3,9,10.440966
1,10,10.456591
13,6,10.472217
42,10,10.503466
-2,6,10.51909
12,6,10.534716
35,3,10.534716
26,4,10.55034
6,10,10.581589
-1,6,10.597216
-4,15,10.628464
44,3,10.644092
-2,9,10.659714
6,10,10.690963
1,6,10.706589
1,8,10.722214
5,9,10.753466
11,7,10.769092
25,2,10.769092
25,2,10.784715
2,8,10.80034
-2,9,10.815964
8,9,10.847216
25,1,10.847216
46,6,10.878463
2,9,10.909715
50,5,10.909715
