,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,18.666666666666668,2022-03-06 19:56:04.918829,2022-03-06 19:57:08.863479,0 days 00:01:03.944650,128,0.2,0.006793702690067853,0.98,0.995,0.00014859586595950154,0.3,1,256,0.1457161821304951,COMPLETE
1,1,17.666666666666668,2022-03-06 19:57:08.863479,2022-03-06 19:58:25.583261,0 days 00:01:16.719782,64,0.1,0.003268430095421955,0.9,0.995,0.00010932597839524048,2.0,5,1024,0.39551295064323566,COMPLETE
2,2,5.666666666666667,2022-03-06 19:58:25.583261,2022-03-06 19:59:23.598381,0 days 00:00:58.015120,256,0.3,0.0011259021881129556,0.8,0.9,6.492488994288049e-05,1.0,1,1024,0.3376538329201161,COMPLETE
3,3,3.6666666666666665,2022-03-06 19:59:23.614005,2022-03-06 20:02:25.338007,0 days 00:03:01.724002,32,0.3,0.0002110275935964176,0.98,0.995,7.131101394367047e-05,0.9,20,2048,0.6691839144429766,COMPLETE
4,4,-10.0,2022-03-06 20:02:25.338007,2022-03-06 20:03:40.628193,0 days 00:01:15.290186,512,0.4,0.00015856193848108352,0.99,0.9,8.393202934610622e-05,0.3,10,128,0.7383765134410406,COMPLETE
5,5,5.0,2022-03-06 20:03:40.628193,2022-03-06 20:04:09.607762,0 days 00:00:28.979569,128,0.2,0.007793892720089129,1.0,0.999,0.0008148015135602559,0.5,1,256,0.014997197130252604,PRUNED
6,6,-1.6666666666666667,2022-03-06 20:04:09.608762,2022-03-06 20:04:38.609898,0 days 00:00:29.001136,128,0.2,0.009964981907012253,0.98,0.9999,0.000420040955759553,0.3,1,512,0.030764457836565617,PRUNED
7,7,8.333333333333334,2022-03-06 20:04:38.609898,2022-03-06 20:05:22.500636,0 days 00:00:43.890738,128,0.2,0.0014047064751311613,0.92,0.95,1.7153680199111456e-05,0.7,20,256,0.9522005911576896,PRUNED
8,8,3.0,2022-03-06 20:05:22.500636,2022-03-06 20:06:06.297611,0 days 00:00:43.796975,256,0.1,0.00045738105251629695,0.95,0.99,0.00022841627391013682,5.0,10,64,0.2142478954025872,PRUNED
9,9,2.0,2022-03-06 20:06:06.297611,2022-03-06 20:06:48.715224,0 days 00:00:42.417613,32,0.4,0.0030158199154701366,0.98,0.995,1.8426015543168216e-05,0.3,5,256,0.18388062694246513,PRUNED
10,10,11.333333333333334,2022-03-06 20:07:09.645989,2022-03-06 20:07:40.675026,0 days 00:00:31.029037,64,0.2,0.0034989495039376033,0.99,0.95,0.00021818605578464498,0.7,1,64,0.5628240977657024,PRUNED
11,11,5.666666666666667,2022-03-06 20:07:40.675026,2022-03-06 20:08:18.083804,0 days 00:00:37.408778,64,0.1,0.0039061473962300978,0.9,0.995,0.00016663724018837038,2.0,5,1024,0.3788835628803079,PRUNED
12,12,3.0,2022-03-06 20:08:18.083804,2022-03-06 20:08:53.123475,0 days 00:00:35.039671,64,0.1,0.0019220052778230047,0.9,0.995,2.8771121518426834e-05,2.0,5,1024,0.38413969338504744,PRUNED
13,13,2.0,2022-03-06 20:08:53.123475,2022-03-06 20:09:26.306473,0 days 00:00:33.182998,512,0.1,0.005705813532409716,0.9,0.995,3.948929287531213e-05,2.0,5,512,0.1854382613261756,PRUNED
14,14,7.333333333333333,2022-03-06 20:09:26.306473,2022-03-06 20:09:56.371998,0 days 00:00:30.065525,128,0.2,0.0006212603605662832,0.95,0.99,0.00014275841680856029,1.0,1,2048,0.4986495339414736,PRUNED
15,15,11.666666666666666,2022-03-06 20:09:56.387622,2022-03-06 20:10:34.692232,0 days 00:00:38.304610,64,0.1,0.002053507635605467,1.0,0.9999,0.00042314374528338965,5.0,5,128,0.28480182532953713,PRUNED
16,16,12.0,2022-03-06 20:10:34.692232,2022-03-06 20:11:12.369270,0 days 00:00:37.677038,128,0.4,0.005294775797769112,0.8,0.999,4.54439684225898e-05,0.9,10,256,0.11256740967250564,PRUNED
17,17,3.6666666666666665,2022-03-06 20:11:12.369270,2022-03-06 20:13:16.962961,0 days 00:02:04.593691,64,0.3,0.0005923331566940667,0.92,0.995,0.00012214547117574568,0.5,20,1024,0.47810226220426993,COMPLETE
18,18,3.6666666666666665,2022-03-06 20:13:16.963961,2022-03-06 20:13:50.400250,0 days 00:00:33.436289,32,0.2,0.0023391281576559814,0.98,0.995,0.000323386822184471,0.3,1,256,0.6502259025424784,PRUNED
19,19,11.666666666666666,2022-03-06 20:13:50.400250,2022-03-06 20:14:20.769650,0 days 00:00:30.369400,256,0.1,0.005952414742769174,0.9,0.995,0.0009736874488446815,2.0,5,1024,0.9937768466869252,PRUNED
20,20,4.333333333333333,2022-03-06 20:14:26.850597,2022-03-06 20:15:00.917737,0 days 00:00:34.067140,512,0.2,0.009988727745224435,0.98,0.9,0.00010492834621999791,0.3,1,64,0.852117256411951,PRUNED
21,21,9.333333333333334,2022-03-06 20:15:00.917737,2022-03-06 20:15:29.477796,0 days 00:00:28.560059,256,0.3,0.0010292293473556015,0.8,0.9,5.933951316967109e-05,1.0,1,1024,0.34244664735249164,PRUNED
22,22,0.0,2022-03-06 20:15:29.477796,2022-03-06 20:16:27.710293,0 days 00:00:58.232497,256,0.3,0.0012292600389108516,0.8,0.9,3.098073649292513e-05,1.0,1,1024,0.2931808183243786,COMPLETE
23,23,5.333333333333333,2022-03-06 20:16:27.710293,2022-03-06 20:16:56.409714,0 days 00:00:28.699421,256,0.3,0.00030334484734189515,0.8,0.9,1.088595166203472e-05,1.0,1,1024,0.43303894413117006,PRUNED
24,24,-2.3333333333333335,2022-03-06 20:16:56.409714,2022-03-06 20:17:26.371894,0 days 00:00:29.962180,64,0.3,0.004224737026090448,0.8,0.999,6.252176115046329e-05,1.0,1,1024,0.10131708572215992,PRUNED
25,25,9.666666666666666,2022-03-06 20:17:26.372893,2022-03-06 20:17:59.697119,0 days 00:00:33.324226,256,0.3,0.0007420134332340407,0.9,0.99,9.594289916843987e-05,2.0,5,128,0.2575639090000591,PRUNED
26,26,14.666666666666666,2022-03-06 20:17:59.698119,2022-03-06 20:19:37.893331,0 days 00:01:38.195212,128,0.1,0.00158274722157135,0.92,0.95,0.00019576508680408476,0.9,20,512,0.13777998935954483,COMPLETE
27,27,20.333333333333332,2022-03-06 20:19:37.893331,2022-03-06 20:21:12.759575,0 days 00:01:34.866244,128,0.1,0.0028628623925369143,0.92,0.95,0.00019565077199785227,0.9,20,512,0.12824350550682947,COMPLETE
28,28,12.0,2022-03-06 20:21:12.759575,2022-03-06 20:21:56.847401,0 days 00:00:44.087826,128,0.1,0.0027031487767073493,0.92,0.95,0.00030292483894403435,0.9,20,512,0.06689627490508457,PRUNED
