#{"t_start": 1646582590.7579508, "env_id": "wordle-v0"}
r,l,t
87.0,30,10.419851
47.0,30,10.451099
69.0,30,10.482349
36.0,30,10.513602
80.0,30,10.622977
91.0,30,10.654228
211.0,30,10.685477
29.0,30,10.716726
109.0,30,10.747976
7.0,30,10.779227
-4.0,30,10.810476
76.0,30,10.841727
109.0,30,10.872976
47.0,30,10.904225
18.0,30,10.951099
109.0,30,10.98235
76.0,30,11.013599
36.0,30,11.029225
109.0,30,11.060477
29.0,30,11.091724
80.0,30,11.122975
102.0,30,11.247977
29.0,30,11.279224
200.0,30,11.310477
131.0,30,11.341725
69.0,30,11.388601
91.0,30,11.419852
98.0,30,11.435477
73.0,30,11.466725
29.0,30,11.497975
18.0,30,11.529224
65.0,30,11.560477
58.0,30,11.591725
87.0,30,11.60735
127.0,30,11.638601
40.0,30,11.66985
80.0,30,11.701101
40.0,30,11.732352
98.0,30,11.841725
127.0,30,11.872976
189.0,30,11.904227
40.0,30,11.935477
29.0,30,11.982351
62.0,30,12.013603
149.0,30,12.04485
40.0,30,12.060475
58.0,30,12.091724
69.0,30,12.216727
69.0,30,12.247975
87.0,30,12.279226
51.0,30,12.310474
58.0,30,12.341735
18.0,30,12.372976
113.0,30,12.404226
58.0,30,12.435475
138.0,30,12.544851
58.0,30,12.576102
109.0,30,12.607351
47.0,30,12.638601
80.0,30,12.685476
69.0,30,12.716725
91.0,30,12.747975
69.0,30,12.779227
109.0,30,12.79485
-15.0,30,12.826099
7.0,30,12.857351
62.0,30,12.872975
69.0,30,12.91985
58.0,30,12.951102
58.0,30,12.982351
109.0,30,12.997976
69.0,30,13.029226
273.0,30,13.154225
138.0,30,13.185475
200.0,30,13.216726
131.0,30,13.247976
69.0,30,13.29485
69.0,30,13.326099
160.0,30,13.357349
51.0,30,13.388599
47.0,30,13.419851
58.0,30,13.4511
91.0,30,13.48235
58.0,30,13.5136
120.0,30,13.54485
-4.0,30,13.5761
69.0,30,13.60735
7.0,30,13.638601
87.0,30,13.654227
47.0,30,13.7636
80.0,30,13.794849
40.0,30,13.826099
80.0,30,13.85735
149.0,30,13.888599
138.0,30,13.919849
80.0,30,13.9511
36.0,30,13.982352
36.0,30,14.0136
87.0,30,14.029237
62.0,30,14.060476
40.0,30,14.091726
47.0,30,14.122974
51.0,30,14.154224
36.0,30,14.185475
109.0,30,14.2011
25.0,30,14.232349
142.0,30,14.341724
29.0,30,14.372975
58.0,30,14.404224
18.0,30,14.435475
40.0,30,14.466725
18.0,30,14.497976
102.0,30,14.529226
40.0,30,14.560477
47.0,30,14.607351
113.0,30,14.638599
131.0,30,14.669849
98.0,30,14.685475
138.0,30,14.716725
87.0,30,14.747977
127.0,30,14.779225
51.0,30,14.794848
40.0,30,14.8261
135.0,30,14.935476
102.0,30,14.966725
80.0,30,14.997977
142.0,30,15.044849
80.0,30,15.076099
76.0,30,15.10735
102.0,30,15.138599
120.0,30,15.170137
18.0,30,15.194815
7.0,30,15.210441
127.0,30,15.241689
69.0,30,15.272939
69.0,30,15.288564
80.0,30,15.319816
58.0,30,15.351064
73.0,30,15.382315
80.0,30,15.397941
87.0,30,15.507314
87.0,30,15.538564
29.0,30,15.585439
80.0,30,15.61669
127.0,30,15.647939
102.0,30,15.679189
87.0,30,15.71044
58.0,30,15.741691
29.0,30,15.77294
69.0,30,15.804189
40.0,30,15.83544
69.0,30,15.851064
87.0,30,15.882314
167.0,30,15.913564
58.0,30,15.944814
98.0,30,15.96044
98.0,30,15.991689
58.0,30,16.101065
109.0,30,16.132315
102.0,30,16.163565
156.0,30,16.194814
120.0,30,16.226065
29.0,30,16.257316
91.0,30,16.304192
40.0,30,16.335442
87.0,30,16.351065
98.0,30,16.382314
120.0,30,16.39794
62.0,30,16.42919
138.0,30,16.46044
29.0,30,16.491689
18.0,30,16.507314
102.0,30,16.538565
109.0,30,16.569816
196.0,30,16.663565
91.0,30,16.694816
47.0,30,16.741691
131.0,30,16.772941
69.0,30,16.80419
80.0,30,16.835441
29.0,30,16.882315
98.0,30,16.913564
80.0,30,16.929189
98.0,30,16.960439
98.0,30,16.99169
69.0,30,17.007314
98.0,30,17.038564
-4.0,30,17.069815
29.0,30,17.101065
18.0,30,17.132316
127.0,30,17.163565
116.0,30,17.257314
73.0,30,17.288565
18.0,30,17.319815
113.0,30,17.366688
29.0,30,17.397938
120.0,30,17.429191
47.0,30,17.460439
171.0,30,17.491691
149.0,30,17.522939
91.0,30,17.554192
87.0,30,17.569819
47.0,30,17.616692
153.0,30,17.632316
58.0,30,17.663565
98.0,30,17.694816
120.0,30,17.726065
160.0,30,17.757314
40.0,30,17.866692
-15.0,30,17.89794
69.0,30,17.944814
29.0,30,17.976064
58.0,30,18.007315
58.0,30,18.038565
98.0,30,18.101065
80.0,30,18.116692
62.0,30,18.147941
69.0,30,18.179188
80.0,30,18.194814
51.0,30,18.226063
62.0,30,18.257314
7.0,30,18.288567
109.0,30,18.304191
160.0,30,18.335441
109.0,30,18.366691
87.0,30,18.397938
160.0,30,18.507315
80.0,30,18.538566
200.0,30,18.569815
171.0,30,18.601066
160.0,30,18.632315
87.0,30,18.663565
58.0,30,18.694814
47.0,30,18.710439
7.0,30,18.741689
73.0,30,18.77294
120.0,30,18.80419
91.0,30,18.819815
51.0,30,18.851064
131.0,30,18.882315
40.0,30,18.913564
87.0,30,18.944815
91.0,30,18.976064
47.0,30,19.085439
127.0,30,19.11669
84.0,30,19.147941
7.0,30,19.179206
160.0,30,19.257315
98.0,30,19.272939
87.0,30,19.304189
120.0,30,19.33544
109.0,30,19.351064
120.0,30,19.382314
51.0,30,19.413567
69.0,30,19.444815
58.0,30,19.476067
207.0,30,19.507315
18.0,30,19.538566
171.0,30,19.569814
69.0,30,19.58544
69.0,30,19.694815
91.0,30,19.726064
51.0,30,19.757314
149.0,30,19.80419
58.0,30,19.835441
76.0,30,19.866691
40.0,30,19.897939
47.0,30,19.913564
69.0,30,19.944815
40.0,30,19.976064
62.0,30,19.991689
40.0,30,20.022938
69.0,30,20.05419
47.0,30,20.085439
69.0,30,20.116689
69.0,30,20.132315
69.0,30,20.176026
40.0,30,20.26824
87.0,30,20.299492
47.0,30,20.346368
40.0,30,20.393242
51.0,30,20.42449
87.0,30,20.455741
69.0,30,20.48699
18.0,30,20.51824
131.0,30,20.533865
51.0,30,20.565116
109.0,30,20.596381
73.0,30,20.627616
98.0,30,20.658866
142.0,30,20.690116
69.0,30,20.721365
40.0,30,20.752615
29.0,30,20.768245
58.0,30,20.877616
58.0,30,20.908866
69.0,30,20.940114
109.0,30,20.971367
47.0,30,21.002615
69.0,30,21.033868
76.0,30,21.065115
102.0,30,21.096365
113.0,30,21.127616
-4.0,30,21.158865
102.0,30,21.190115
91.0,30,21.20574
58.0,30,21.236991
207.0,30,21.268242
189.0,30,21.29949
69.0,30,21.330741
73.0,30,21.361989
109.0,30,21.471366
102.0,30,21.502615
196.0,30,21.549491
98.0,30,21.596365
51.0,30,21.643241
113.0,30,21.658867
120.0,30,21.690118
29.0,30,21.721368
131.0,30,21.752618
102.0,30,21.783867
131.0,30,21.799491
87.0,30,21.830741
36.0,30,21.861991
109.0,30,21.877616
80.0,30,21.908866
102.0,30,21.940116
80.0,30,21.971365
109.0,30,22.080741
120.0,30,22.111993
62.0,30,22.143242
80.0,30,22.17449
80.0,30,22.205741
69.0,30,22.236991
80.0,30,22.268241
58.0,30,22.299489
120.0,30,22.315115
127.0,30,22.346365
109.0,30,22.377615
58.0,30,22.393241
87.0,30,22.42449
87.0,30,22.45574
