#{"t_start": 1646596421.105287, "env_id": "WordleWord-v0"}
r,l,t
2,6,0.046875
2,6,0.078121
15,6,0.093746
-7,6,0.109374
11,6,0.124999
3,6,0.156251
-7,6,0.171873
0,6,0.203126
1,6,0.234378
1,6,0.249999
4,6,0.374998
1,6,0.390626
5,6,0.406249
-4,6,0.421874
-2,6,0.437496
-13,6,0.453124
10,6,0.46875
-1,6,0.500001
14,6,0.515625
16,6,0.531251
-1,6,0.546876
-4,6,0.640626
-7,6,0.656251
15,6,0.671874
13,6,0.696774
4,6,0.704836
-8,6,0.720465
-3,6,0.736089
-4,6,0.751715
10,6,0.767339
6,6,0.782965
1,6,0.798589
1,6,0.907967
3,6,0.923588
1,6,0.954838
18,6,0.970465
12,6,1.001716
-4,6,1.017341
2,6,1.048589
5,6,1.064214
14,6,1.095465
-5,6,1.11109
3,6,1.189218
0,6,1.204842
6,6,1.204842
-4,6,1.220465
10,6,1.236089
-1,6,1.251714
-4,6,1.267339
-4,7,1.282965
-2,6,1.298591
5,7,1.329842
11,6,1.345466
-2,6,1.423587
1,6,1.439214
25,6,1.454838
6,6,1.470465
9,6,1.486089
6,6,1.517342
2,7,1.54859
-9,6,1.564216
6,6,1.595465
4,6,1.626715
-2,6,1.720467
6,6,1.751715
12,6,1.76734
12,6,1.782965
-7,6,1.798593
-6,6,1.814215
5,6,1.829841
1,6,1.845464
5,6,1.876718
-4,6,1.892341
-2,6,1.907967
-2,6,1.986092
9,6,2.001715
-2,7,2.017344
7,6,2.032965
34,3,2.048592
0,6,2.064214
5,6,2.079841
-2,6,2.095466
-7,6,2.11109
15,6,2.142342
8,6,2.157962
-4,6,2.267342
3,6,2.282964
-1,6,2.314215
29,2,2.329837
-3,6,2.345466
2,6,2.376714
10,6,2.392341
2,7,2.423589
7,6,2.439217
28,6,2.45484
5,7,2.470466
7,6,2.548592
-1,6,2.57984
-11,6,2.595466
4,6,2.611091
8,6,2.626717
11,6,2.642342
-13,6,2.657968
2,7,2.689217
10,6,2.704841
3,6,2.720465
3,6,2.798592
-11,6,2.814216
-3,6,2.82984
-4,6,2.861093
1,6,2.876717
2,6,2.907969
1,6,2.923592
4,6,2.95484
9,6,2.986091
3,6,3.001715
-9,6,3.032966
2,6,3.14235
13,6,3.157967
13,6,3.17359
2,6,3.189214
5,6,3.204841
-3,6,3.220466
9,6,3.251715
4,6,3.26734
3,6,3.282966
-7,6,3.298592
15,6,3.314217
5,6,3.392342
-2,6,3.423594
-4,6,3.439215
6,6,3.454841
3,6,3.470462
1,6,3.486092
4,6,3.501716
-9,6,3.532968
9,6,3.548589
8,6,3.564216
2,6,3.673592
11,6,3.704839
5,6,3.720467
-7,6,3.751714
-6,7,3.782965
2,6,3.798592
1,6,3.814214
9,6,3.845465
15,6,3.86109
6,6,3.876714
-2,6,3.892337
17,6,3.970466
1,6,3.986092
16,6,4.001717
-13,6,4.017343
2,6,4.032965
-2,6,4.04859
-3,6,4.07984
1,6,4.07984
45,6,4.095464
7,6,4.11109
-1,6,4.204842
8,6,4.220468
-8,6,4.236092
8,6,4.251718
14,6,4.282966
12,6,4.298593
-4,6,4.314217
10,6,4.376718
12,6,4.407966
2,6,4.439217
15,6,4.470466
13,6,4.548591
10,6,4.564216
9,6,4.579842
2,6,4.595466
6,6,4.611091
10,6,4.626715
2,6,4.64234
2,6,4.67359
13,6,4.689215
5,6,4.70484
8,6,4.720465
2,6,4.782967
1,6,4.798591
3,6,4.814214
3,6,4.82984
2,6,4.86109
1,6,4.876718
-11,6,4.907968
8,7,4.939214
-13,6,4.970466
1,6,4.986089
-6,6,5.079838
6,6,5.095463
12,6,5.126715
14,6,5.142339
1,6,5.157967
9,6,5.173592
6,6,5.189213
5,6,5.20484
22,6,5.220464
2,6,5.236088
-2,6,5.251715
5,6,5.329841
2,6,5.36109
2,6,5.376712
3,6,5.392341
7,6,5.407965
-1,6,5.423591
10,6,5.439218
0,6,5.470466
1,6,5.486092
1,6,5.501714
-8,6,5.517342
3,6,5.626715
7,6,5.642339
3,6,5.673588
6,6,5.704192
2,6,5.723228
12,6,5.754483
-6,6,5.770108
4,6,5.801353
13,6,5.816978
54,6,5.832604
2,6,5.926353
-9,6,5.94198
21,6,5.957603
13,6,5.973232
13,6,5.988858
7,6,6.004479
3,6,6.020105
4,6,6.035731
36,5,6.051353
36,6,6.066981
1,6,6.082605
-11,6,6.145106
-8,6,6.176356
13,6,6.176356
4,6,6.191981
-6,6,6.22323
16,6,6.238857
8,6,6.254483
8,6,6.285733
-3,6,6.301355
-6,6,6.332606
8,6,6.348229
2,6,6.441983
6,6,6.457607
0,7,6.488858
-1,6,6.504483
6,7,6.520107
7,6,6.535732
12,6,6.551356
14,7,6.566982
2,6,6.582603
2,6,6.598232
6,7,6.676356
7,6,6.691982
4,6,6.707604
-11,6,6.723228
-1,6,6.738856
-3,6,6.770107
-3,6,6.770107
11,6,6.801371
0,7,6.816981
8,6,6.832603
-4,6,6.910731
16,6,6.926356
7,7,6.957607
12,6,6.988858
-7,6,7.020107
-4,6,7.035732
12,8,7.082605
0,6,7.113857
-2,7,7.129481
13,6,7.160731
-1,6,7.240106
-5,6,7.271358
1,6,7.286982
2,6,7.302605
6,6,7.318235
-3,6,7.333856
-4,6,7.349482
-5,6,7.365107
7,6,7.380732
5,6,7.396357
-4,6,7.411981
-2,6,7.505733
4,6,7.521359
8,6,7.536983
15,6,7.552607
6,6,7.583855
-5,6,7.599482
8,6,7.630731
5,6,7.646357
7,6,7.677605
14,6,7.708854
6,6,7.724481
-2,6,7.833857
-2,6,7.865105
-6,6,7.880732
17,6,7.896357
-4,6,7.911982
2,6,7.927606
5,6,7.943233
3,6,7.958856
15,6,7.974483
-1,6,7.990108
8,6,8.083859
1,6,8.099484
-9,6,8.115105
7,6,8.130731
-3,6,8.146359
14,6,8.161982
21,6,8.193229
14,6,8.208858
18,6,8.224484
-7,6,8.240105
3,6,8.255733
3,6,8.365107
16,6,8.396356
8,6,8.411983
-4,6,8.443231
-3,6,8.474481
5,6,8.490106
-2,6,8.521356
4,6,8.536984
10,6,8.568232
9,6,8.599483
-1,6,8.615109
-6,6,8.693234
-6,6,8.724485
1,6,8.786985
6,6,8.802608
-8,6,8.833859
5,7,8.86511
-4,6,8.880733
21,6,8.896358
3,7,8.927608
7,6,8.943232
9,7,9.05261
10,6,9.083859
2,6,9.115108
8,6,9.146358
15,6,9.177608
9,6,9.208856
11,6,9.240107
2,7,9.271358
-2,6,9.302609
32,4,9.302609
17,6,9.318234
13,6,9.411983
6,7,9.443233
7,6,9.458858
1,7,9.490106
5,7,9.521357
-4,6,9.536982
7,6,9.552606
-3,7,9.583861
17,6,9.599484
-3,6,9.615109
5,6,9.708859
12,6,9.72448
7,6,9.755731
-2,6,9.786983
22,6,9.802607
-6,6,9.833856
12,6,9.865108
-7,6,9.880733
-8,6,9.911982
-2,7,9.943234
-15,6,10.036984
14,6,10.052608
12,6,10.06823
19,6,10.099485
13,6,10.115104
7,6,10.130732
-6,6,10.146359
17,6,10.161979
3,6,10.177608
9,6,10.193232
24,6,10.208856
-4,6,10.302608
7,6,10.318233
11,6,10.349485
-3,6,10.380733
-4,6,10.396358
5,6,10.427608
41,3,10.443233
-9,6,10.474954
3,6,10.505733
