#{"t_start": 1646342360.7748973, "env_id": "wordle-v0"}
r,l,t
1,9,0.046874
25,16,0.109373
25,1,0.109373
31,3,0.109373
-4,12,0.187501
-12,7,0.259141
25,1,0.264141
11,6,0.28194
10,11,0.328812
33,3,0.328812
38,9,0.375688
33,3,0.391313
32,5,0.417644
-4,9,0.465938
8,15,0.514291
46,4,0.529914
0,9,0.561162
31,12,0.608038
25,1,0.608038
25,1,0.608038
14,8,0.70179
24,3,0.717416
5,8,0.748663
40,5,0.764291
27,3,0.779915
-1,12,0.842417
-5,10,0.889292
-8,11,0.936165
33,3,0.951791
42,7,0.983041
25,1,0.998666
28,4,1.01429
-8,10,1.061167
25,1,1.061167
5,8,1.092416
25,1,1.108041
32,3,1.123665
8,9,1.17054
-6,9,1.217416
31,5,3.045539
26,8,3.076789
35,4,3.092413
39,12,3.139287
38,8,3.170537
28,7,3.217412
31,3,3.233037
29,2,3.233037
-2,7,3.264289
-4,10,3.29554
29,2,3.311162
41,6,3.326788
29,9,3.342413
40,5,3.358038
0,7,3.373664
37,9,3.404913
46,7,3.420537
39,6,3.446476
-1,7,3.462526
15,9,3.478153
-4,7,3.493777
25,1,3.493777
32,6,3.509401
-3,10,3.540656
32,6,3.55628
-1,6,3.571905
32,4,3.587529
51,7,3.603153
-3,8,3.618777
33,4,3.634404
-3,8,3.65003
25,1,3.65003
32,3,3.665652
29,2,3.665652
-5,8,3.681276
49,7,3.696903
33,4,3.712529
31,12,3.743778
0,10,3.775028
25,1,3.775028
40,7,3.790653
44,6,4.509405
29,2,4.525029
35,8,4.540653
35,4,4.540653
25,2,4.556278
25,1,4.556278
38,6,4.571906
33,4,4.587531
31,3,4.587531
35,5,4.603153
-6,7,4.618778
29,6,4.634403
-2,7,4.65003
-6,11,4.665653
37,10,4.696903
27,2,4.696903
31,4,4.712528
47,6,4.728154
46,6,4.743777
-10,9,4.775028
-3,8,4.790658
33,7,4.80628
34,8,4.837528
2,7,4.853154
48,9,4.884404
5,6,4.90003
2,8,4.915656
33,3,4.931282
25,1,4.931282
-4,9,4.96253
39,6,4.978156
40,8,5.009405
-3,10,5.040655
9,12,5.071905
-5,9,5.103154
25,1,5.103154
30,2,5.103154
47,6,5.134405
0,13,5.165657
-6,13,5.212531
27,2,5.212531
32,6,6.071902
29,13,6.103162
25,1,6.103162
28,14,6.150031
54,10,6.165656
3,8,6.196902
-3,7,6.212528
35,4,6.212528
25,1,6.228152
28,4,6.228152
-6,13,6.275028
25,1,6.275028
49,4,6.275028
34,4,6.290652
-10,11,6.321907
12,9,6.33753
27,6,6.353155
43,5,6.368779
-2,6,6.384406
-2,13,6.415654
-7,15,6.462527
40,13,6.478153
27,2,6.493777
25,1,6.493777
-2,9,6.525029
30,4,6.525029
25,1,6.540653
30,11,6.571901
-5,8,6.587529
29,2,6.587529
37,7,6.603154
5,6,6.618778
33,4,6.634404
27,6,6.65003
25,3,6.65003
30,6,6.696906
-1,8,6.712532
28,6,6.728162
8,9,7.431277
41,9,7.462529
38,9,7.478153
29,2,7.493779
41,4,7.493779
31,12,7.525026
38,4,7.525026
36,4,7.540651
-5,10,7.571905
29,5,7.571905
45,8,7.587528
4,7,7.603151
2,7,7.618778
1,12,7.650029
31,5,7.665651
-3,8,7.696905
38,7,7.712527
25,1,7.712527
28,4,7.712527
2,7,7.743781
32,3,7.743781
27,2,7.759407
34,7,7.77503
45,3,7.790654
-3,8,7.806279
53,5,7.821903
36,5,7.83753
-3,8,7.868781
-6,9,7.884405
