#{"t_start": 1646415598.1151147, "env_id": "wordle-v0"}
r,l,t
-7.0,30,23.118241
37.0,30,23.149493
21.0,30,23.180743
9.0,30,23.211993
65.0,30,23.243242
25.0,30,23.274493
25.0,30,23.321371
61.0,30,23.35262
33.0,30,23.38387
41.0,30,23.415117
-3.0,30,23.461993
21.0,30,23.493243
1.0,30,23.524496
5.0,30,23.571367
5.0,30,23.602619
29.0,30,23.633873
25.0,30,23.696367
17.0,30,23.727617
9.0,30,23.758868
21.0,30,23.790117
41.0,30,23.821368
5.0,30,23.852618
17.0,30,23.883869
37.0,30,23.930743
-3.0,30,23.961993
49.0,30,23.993244
37.0,30,24.040119
-11.0,30,24.071369
5.0,30,24.10262
29.0,30,24.149493
33.0,30,24.180744
-11.0,30,24.211994
21.0,30,24.243245
25.0,30,24.290118
17.0,30,24.321367
29.0,30,24.352619
5.0,30,24.399493
29.0,30,24.430743
1.0,30,24.461992
1.0,30,24.508869
9.0,30,24.54012
21.0,30,24.571368
21.0,30,24.618241
9.0,30,24.649494
93.0,30,24.680742
25.0,30,24.711993
45.0,30,24.758868
41.0,30,24.790119
1.0,30,24.82137
17.0,30,24.868245
37.0,30,24.915119
13.0,30,24.946371
45.0,30,24.977618
-3.0,30,25.008867
93.0,30,25.055743
33.0,30,25.086996
37.0,30,25.118243
1.0,30,27.961992
13.0,30,27.993244
5.0,30,28.024493
-15.0,30,28.07137
29.0,30,28.102619
17.0,30,28.133868
29.0,30,28.180546
33.0,30,28.213214
-3.0,30,28.244465
29.0,30,28.291341
21.0,30,28.322591
25.0,30,28.353839
65.0,30,28.38509
97.0,30,28.431964
5.0,30,28.463214
101.0,30,28.494463
33.0,30,28.541342
17.0,30,28.57259
9.0,30,28.60384
89.0,30,28.635089
89.0,30,28.681966
5.0,30,28.713215
53.0,30,28.744463
5.0,30,28.79134
37.0,30,28.82259
13.0,30,28.869467
57.0,30,28.900716
17.0,30,28.94759
29.0,30,28.978837
25.0,30,29.010088
5.0,30,29.056964
53.0,30,29.088217
53.0,30,29.119465
77.0,30,29.150715
9.0,30,29.197589
1.0,30,29.22884
21.0,30,29.26009
25.0,30,29.29134
17.0,30,29.322592
45.0,30,29.35384
21.0,30,29.385092
45.0,30,29.431964
93.0,30,29.463215
21.0,30,29.494463
13.0,30,29.525715
1.0,30,29.556964
41.0,30,29.603839
5.0,30,29.635089
-7.0,30,29.666339
33.0,30,29.697588
41.0,30,29.728839
29.0,30,29.760089
45.0,30,29.806966
13.0,30,29.838215
25.0,30,29.869465
17.0,30,29.900715
57.0,30,29.947592
13.0,30,29.978841
25.0,30,30.01009
-3.0,30,30.072591
41.0,30,30.119463
89.0,30,30.150715
53.0,30,30.181967
17.0,30,30.213213
25.0,30,30.244463
17.0,30,30.275713
53.0,30,30.322592
45.0,30,30.35384
41.0,30,33.275718
25.0,30,33.322592
33.0,30,33.353839
-3.0,30,33.385094
-3.0,30,33.431969
29.0,30,33.463219
21.0,30,33.510092
57.0,30,33.541567
17.0,30,33.588445
33.0,30,33.619696
41.0,30,33.650948
29.0,30,33.697821
61.0,30,33.729072
145.0,30,33.775947
41.0,30,33.807197
21.0,30,33.854073
13.0,30,33.900944
45.0,30,33.932194
1.0,30,33.97907
1.0,30,34.025946
33.0,30,34.057195
69.0,30,34.10407
29.0,30,34.150947
37.0,30,34.197822
13.0,30,34.275947
53.0,30,34.32282
5.0,30,34.354071
25.0,30,34.400946
45.0,30,34.447822
17.0,30,34.479073
5.0,30,34.525948
69.0,30,34.557197
65.0,30,34.604073
33.0,30,34.635323
21.0,30,34.682197
1.0,30,34.713446
45.0,30,34.760322
85.0,30,34.791572
37.0,30,34.838446
5.0,30,34.869696
25.0,30,34.91657
57.0,30,34.963447
9.0,30,34.994695
9.0,30,35.04157
77.0,30,35.088448
41.0,30,35.119697
29.0,30,35.16657
29.0,30,35.197821
-3.0,30,35.244696
5.0,30,35.275946
45.0,30,35.322822
45.0,30,35.35407
21.0,30,35.400946
29.0,30,35.432196
53.0,30,35.510321
25.0,30,35.557196
21.0,30,35.588458
37.0,30,35.650946
13.0,30,35.682195
33.0,30,35.713445
21.0,30,35.744696
65.0,30,35.775946
73.0,30,35.807195
53.0,30,35.838445
69.0,30,35.88532
33.0,30,35.916571
9.0,30,35.963445
33.0,30,36.010321
61.0,30,39.213446
-3.0,30,39.26032
17.0,30,39.291569
41.0,30,39.338445
61.0,30,39.385323
65.0,30,39.41657
-7.0,30,39.460836
13.0,30,39.507714
53.0,30,39.538964
9.0,30,39.585839
37.0,30,39.617089
41.0,30,39.663966
29.0,30,39.695214
13.0,30,39.74209
45.0,30,39.773338
65.0,30,39.804587
9.0,30,39.835838
65.0,30,39.86709
1.0,30,39.898341
53.0,30,39.945213
5.0,30,39.976463
17.0,30,40.007712
61.0,30,40.038963
5.0,30,40.11709
37.0,30,40.14834
49.0,30,40.179589
45.0,30,40.21084
17.0,30,40.257713
33.0,30,40.288965
53.0,30,40.320213
37.0,30,40.351464
49.0,30,40.398337
25.0,30,40.429589
85.0,30,40.460839
41.0,30,40.492088
21.0,30,40.523339
9.0,30,40.570214
81.0,30,40.601464
29.0,30,40.632711
21.0,30,40.679587
25.0,30,40.710838
45.0,30,40.742088
-3.0,30,40.788964
61.0,30,40.820213
29.0,30,40.851462
17.0,30,40.882713
13.0,30,40.92959
21.0,30,40.960839
65.0,30,40.992088
17.0,30,41.023337
45.0,30,41.054588
17.0,30,41.085838
49.0,30,41.117089
21.0,30,41.163962
101.0,30,41.195215
77.0,30,41.226463
33.0,30,41.288964
1.0,30,41.335837
77.0,30,41.367087
53.0,30,41.398338
-3.0,30,41.42959
49.0,30,41.460837
57.0,30,41.507714
13.0,30,41.538962
9.0,30,41.570212
29.0,30,41.601466
-7.0,30,41.632712
5.0,30,41.675316
57.0,30,41.706567
25.0,30,44.534691
45.0,30,44.581566
5.0,30,44.612816
17.0,30,44.644068
17.0,30,44.690942
21.0,30,44.722193
13.0,30,44.753441
-3.0,30,44.784693
29.0,30,44.831566
5.0,30,44.862818
45.0,30,44.894068
41.0,30,44.925318
65.0,30,44.956566
49.0,30,44.987816
37.0,30,45.034693
85.0,30,45.065941
9.0,30,45.097191
77.0,30,45.144069
1.0,30,45.175318
5.0,30,45.206568
5.0,30,45.253441
9.0,30,45.300317
21.0,30,45.331565
49.0,30,45.362818
29.0,30,45.409691
41.0,30,45.440943
9.0,30,45.472193
45.0,30,45.519065
9.0,30,45.550317
41.0,30,45.581568
29.0,30,45.628443
61.0,30,45.659691
-3.0,30,45.690942
37.0,30,45.722193
49.0,30,45.769067
57.0,30,45.800318
41.0,30,45.831567
69.0,30,45.878441
45.0,30,45.909692
41.0,30,45.940943
29.0,30,45.987817
1.0,30,46.019068
89.0,30,46.050315
41.0,30,46.097191
65.0,30,46.128442
9.0,30,46.159692
13.0,30,46.206566
21.0,30,46.237818
25.0,30,46.269068
5.0,30,46.31594
21.0,30,46.347192
9.0,30,46.378443
1.0,30,46.425316
33.0,30,46.456567
21.0,30,46.519067
1.0,30,46.550317
5.0,30,46.581567
13.0,30,46.612816
29.0,30,46.659693
5.0,30,46.688496
-3.0,30,46.719748
29.0,30,46.766621
69.0,30,46.797873
17.0,30,46.829122
37.0,30,46.860373
37.0,30,46.891621
53.0,30,46.922872
69.0,30,46.969748
21.0,30,50.110375
69.0,30,50.141625
65.0,30,50.1885
61.0,30,50.219748
57.0,30,50.266623
17.0,30,50.297873
81.0,30,50.329125
29.0,30,50.375998
-11.0,30,50.40725
45.0,30,50.454124
9.0,30,50.500996
9.0,30,50.532248
13.0,30,50.579125
41.0,30,50.610371
21.0,30,50.641621
49.0,30,50.672872
45.0,30,50.704123
37.0,30,50.751
33.0,30,50.78225
45.0,30,50.844749
-3.0,30,50.875998
-3.0,30,50.90725
25.0,30,50.954121
25.0,30,50.985372
37.0,30,51.016621
13.0,30,51.047875
61.0,30,51.079123
29.0,30,51.125999
21.0,30,51.157247
5.0,30,51.188496
25.0,30,51.219747
13.0,30,51.250998
33.0,30,51.282246
37.0,30,51.313496
37.0,30,51.360372
17.0,30,51.391622
1.0,30,51.422872
5.0,30,51.454121
25.0,30,51.485371
33.0,30,51.516623
1.0,30,51.547873
65.0,30,51.594748
-7.0,30,51.625998
17.0,30,51.657249
53.0,30,51.699875
-7.0,30,51.731129
-11.0,30,51.762379
57.0,30,51.809251
29.0,30,51.840501
37.0,30,51.871756
37.0,30,51.903001
25.0,30,51.934251
9.0,30,51.996754
9.0,30,52.028003
9.0,30,52.059255
45.0,30,52.10613
13.0,30,52.137377
33.0,30,52.168628
57.0,30,52.215504
5.0,30,52.246751
49.0,30,52.278003
105.0,30,52.324879
29.0,30,52.356127
37.0,30,52.387379
69.0,30,52.418629
53.0,30,52.449876
77.0,30,52.481128
41.0,30,52.528003
17.0,30,55.356129
45.0,30,55.387378
49.0,30,55.434252
37.0,30,55.465504
5.0,30,55.496751
5.0,30,55.543628
37.0,30,55.574877
21.0,30,55.606127
61.0,30,55.637377
17.0,30,55.684253
25.0,30,55.715504
9.0,30,55.746751
9.0,30,55.778001
101.0,30,55.824879
41.0,30,55.856127
37.0,30,55.887377
61.0,30,55.93425
37.0,30,55.965501
45.0,30,56.012378
1.0,30,56.059251
17.0,30,56.090501
61.0,30,56.121751
13.0,30,56.153003
41.0,30,56.184255
9.0,30,56.231126
33.0,30,56.262379
85.0,30,56.293629
9.0,30,56.324875
37.0,30,56.356129
33.0,30,56.403002
49.0,30,56.434253
25.0,30,56.465501
33.0,30,56.512378
85.0,30,56.543626
1.0,30,56.574877
53.0,30,56.606128
25.0,30,56.637378
61.0,30,56.684252
113.0,30,56.712007
29.0,30,56.74326
29.0,30,56.774512
33.0,30,56.821384
21.0,30,56.852634
21.0,30,56.883886
29.0,30,56.930762
13.0,30,56.962013
21.0,30,56.993262
41.0,30,57.040135
-7.0,30,57.071384
37.0,30,57.102633
69.0,30,57.133883
13.0,30,57.196384
45.0,30,57.227633
33.0,30,57.258883
73.0,30,57.290135
57.0,30,57.337008
-3.0,30,57.368261
41.0,30,57.399511
29.0,30,57.446386
29.0,30,57.477634
57.0,30,57.508884
117.0,30,57.555759
81.0,30,57.587011
17.0,30,57.618258
29.0,30,57.649511
45.0,30,57.696383
29.0,30,57.727633
33.0,30,57.758883
41.0,30,60.587011
61.0,30,60.633885
