#{"t_start": 1646343689.486077, "env_id": "wordle-v0"}
r,l,t
-8,9,0.031185
-6,9,0.062433
0,7,0.062433
34,11,0.093683
27,3,0.109309
25,1,0.109309
25,1,0.109309
40,7,0.124935
-1,8,0.140561
25,1,0.140561
34,4,0.156185
-3,8,0.171809
0,7,0.187435
44,11,0.218684
51,6,0.23431
54,6,0.249937
25,1,0.265558
10,8,0.281185
4,7,0.296811
33,7,0.312433
27,3,0.328058
7,11,0.35931
40,8,0.390562
-3,6,0.406186
0,9,0.421811
28,9,0.453062
33,5,0.468687
27,2,0.468687
37,9,0.499936
42,6,0.51556
-2,9,0.531185
50,6,0.546812
28,4,0.562435
-1,8,0.593687
-6,11,0.624936
29,2,0.624936
11,6,0.640573
39,6,0.656185
45,5,0.671812
25,1,0.671812
27,2,0.671812
0,8,1.374933
34,5,1.390559
25,1,1.390559
-6,6,1.406237
25,1,1.406237
50,12,1.437434
25,1,1.437434
52,4,1.453057
27,2,1.453057
36,7,1.515562
35,4,1.531187
39,8,1.546812
25,1,1.546812
41,3,1.562433
-4,8,1.578059
30,4,1.640565
27,2,1.640565
29,2,1.671813
29,2,1.671813
31,3,1.687436
52,7,1.703062
33,3,1.718687
-4,7,1.734311
-11,14,1.781186
29,4,1.781186
29,3,1.796813
24,3,1.796813
25,1,1.796813
9,10,1.828062
43,7,1.859312
32,2,1.859312
29,2,1.874936
9,8,1.890562
27,2,1.890562
43,9,1.921811
32,4,1.937437
-3,8,1.968688
49,9,2.01556
45,7,2.031187
6,7,2.046812
26,3,2.046812
52,5,2.062437
27,2,2.078062
33,4,2.078062
4,7,2.109312
27,2,2.109312
-4,7,2.191318
55,9,2.214025
27,2,2.214025
-2,7,2.245274
-3,8,2.260899
-4,10,2.979646
25,1,2.995271
2,9,3.010897
28,4,3.026528
-3,6,3.026528
25,1,3.042149
25,1,3.042149
3,7,3.057776
25,1,3.057776
12,8,3.089024
38,6,3.104649
26,4,3.120277
40,9,3.135901
40,7,3.151525
43,7,3.182776
4,9,3.198399
7,11,3.22965
27,5,3.245274
25,1,3.245274
26,3,3.245274
-5,7,3.260896
37,6,3.27652
27,5,3.292147
2,8,3.307774
34,4,3.307774
33,11,3.339021
33,3,3.35465
10,12,3.464025
27,2,3.464025
-4,7,3.495275
1,6,3.526525
0,10,3.557776
29,2,3.589026
10,6,3.604651
47,11,3.6359
50,7,3.667148
36,8,3.682774
0,8,3.698398
-2,8,3.729647
1,8,3.745273
33,4,3.760899
-3,9,4.526525
-5,6,4.54215
-6,10,4.573398
7,9,4.60465
38,3,4.60465
-5,9,4.6359
28,5,4.682775
-1,7,4.807774
34,11,4.91715
-3,7,4.948402
35,5,4.964025
25,1,4.964025
31,4,4.97965
-3,12,5.0109
-2,8,5.026524
-4,7,5.057775
-5,10,5.073398
29,9,5.10465
48,11,5.135899
-7,12,5.167149
25,2,5.167149
-9,13,5.214023
27,2,5.214023
-6,7,5.229649
-9,10,5.260912
27,2,5.260912
44,5,5.276524
29,2,5.29215
-4,19,5.35465
42,3,5.370275
32,3,5.370275
29,2,5.3859
33,4,5.401524
44,8,5.417149
31,3,5.432774
15,9,5.47965
-3,9,5.510899
48,4,5.510899
25,1,5.510899
29,3,6.182774
25,1,6.182774
25,1,6.198403
27,7,6.214022
7,9,6.229646
34,9,6.260898
45,8,6.276523
31,2,6.276523
51,11,6.307775
39,10,6.339022
-1,7,6.354646
29,2,6.354646
35,6,6.370273
39,7,6.401524
34,3,6.401524
25,1,6.401524
25,1,6.401524
26,8,6.432772
-7,8,6.448396
-6,13,6.479647
46,6,6.495271
2,16,6.526522
27,2,6.542147
27,2,6.542147
40,7,6.557773
25,1,6.557773
-4,7,6.573398
53,6,6.589023
-5,8,6.604648
50,11,6.635896
10,8,6.651523
-8,10,6.682773
44,4,6.698398
44,4,6.698398
2,8,6.714022
-10,9,6.745272
25,1,6.745272
35,9,6.7609
14,7,6.776523
45,5,6.792149
33,3,6.792149
3,8,7.457737
1,9,7.473368
27,2,7.488987
-1,8,7.504612
27,10,7.520236
12,7,7.535863
4,9,7.567111
0,10,7.582736
2,13,7.645244
50,8,7.692116
31,9,7.770242
39,5,7.785866
-8,7,7.801491
36,5,7.832741
11,8,7.863992
25,1,7.863992
-3,7,7.879617
25,1,7.879617
45,4,7.89524
1,17,7.942118
33,4,7.95774
37,4,7.973365
27,2,7.973365
-18,18,8.020241
26,14,8.051489
-2,7,8.082739
53,7,8.098366
43,6,8.113987
25,1,8.113987
28,4,8.129616
7,14,8.160866
28,3,8.254617
-4,10,8.348366
29,4,8.363992
25,1,8.363992
37,9,8.395242
-4,11,9.223366
25,1,9.238991
0,10,9.254615
-5,9,9.285866
-9,10,9.317113
27,2,9.317113
40,2,9.317113
28,10,9.348363
-10,17,9.395241
-5,11,9.410866
0,6,9.426489
-6,9,9.442113
27,4,9.457747
-9,8,9.473362
25,1,9.473362
-9,12,9.504614
31,2,9.504614
14,7,9.520238
37,4,9.535863
29,2,9.535863
9,8,9.551488
8,7,9.567111
50,8,9.598365
2,11,9.613989
32,7,9.629613
36,4,9.645238
13,8,9.660863
-16,18,9.707742
-14,16,9.738991
29,3,9.754616
-5,10,9.77024
30,5,9.785862
25,1,9.785862
34,3,9.801486
50,5,9.801486
39,5,9.817114
53,6,10.504615
5,14,10.535866
1,8,10.551487
-16,13,10.598361
25,1,10.598361
43,10,10.613989
31,5,10.629611
-5,8,10.660865
25,1,10.660865
27,2,10.660865
26,3,10.676486
31,5,10.692115
1,6,10.707741
30,4,10.707741
0,7,10.723364
27,2,10.785868
-3,10,10.942116
-4,9,11.004616
32,4,11.020241
30,5,11.035867
29,2,11.035867
33,3,11.051491
33,6,11.067116
34,4,11.08274
25,1,11.08274
-3,9,11.098366
15,7,11.113987
3,8,11.145241
38,5,11.145241
0,6,11.176489
36,4,11.176489
13,7,11.192112
29,4,11.20774
9,8,11.223362
31,6,11.238989
-8,12,11.285864
-9,8,11.30149
35,4,11.317112
35,4,11.332737
32,7,11.348364
-9,8,11.379617
-4,9,11.410866
31,3,11.410866
8,8,12.19586
33,4,12.205859
28,3,12.212859
5,8,12.216903
41,5,12.23253
1,8,12.295036
39,5,12.341913
42,7,12.373159
-7,10,12.388784
11,8,12.420033
-4,9,12.435659
37,7,12.451284
0,6,12.466907
35,4,12.482536
34,6,12.498158
25,2,12.498158
3,10,12.529406
30,3,12.529406
3,8,12.560654
27,2,12.560654
40,4,12.576282
33,4,12.576282
-4,7,12.591918
9,7,12.607532
27,2,12.607532
37,5,12.623156
28,4,12.638782
25,1,12.638782
-6,8,12.654412
4,9,12.685657
25,1,12.685657
34,3,12.685657
-1,11,12.716907
35,6,12.732533
48,5,12.748156
-8,7,12.763783
29,10,12.779408
30,2,12.795032
31,3,12.795032
32,7,12.810658
25,1,12.810658
29,4,12.826283
29,3,12.826283
6,10,12.904411
40,3,12.920035
10,6,12.966909
2,9,13.982534
